Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43202,2000,11,02,0.0,2.6,1.7,071,066,31.0,19.1,25.1,14.5,14.6,17.9,15.5,12.7,44,02,DHR,15,26,75,07,SORGHUM M35-1,271000,130301
43202,2000,12,07,0.0,2.2,1.9,059,062,29.2,12.2,20.7,14.7,17.7,19.3,22.6,21.5,49,07,DHR,15,26,75,07,SORGHUM M35-1,271000,130301
43202,2001,01,18,0.0,3.4,3.9,063,037,30.0,13.8,21.9,16.3,18.3,18.8,20.5,22.2,03,18,DHR,15,26,75,07,SORGHUM M-35-1,201100,130301
43202,2001,01,25,0.0,3.3,3.9,067,045,30.7,14.4,22.5,7.5,15.2,16.1,18.5,20.5,04,25,DHR,15,26,75,07,SORGHUM M-35-1,201100,130301
43202,2001,09,06,0.0,2.8,1.5,083,064,30.0,19.4,24.7,1.7,9.1,9.9,11.0,11.7,36,06,DHR,15,26,75,07,SOYABEAN JS-335,070701,240901
43202,2002,06,13,0.0,3.2,0.9,084,059,32.1,22.7,27.4,4.1,13.7,17.9,10.3,10.3,24,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,06,20,0.0,1.9,2.0,091,092,25.9,19.4,22.7,20.1,22.1,15.5,10.5,10.3,25,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,07,04,0.0,2.3,1.4,088,084,27.6,22.0,24.8,16.6,12.3,12.8,14.5,15.3,27,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,07,11,0.2,2.2,4.5,082,054,29.0,20.6,24.8,15.9,16.3,14.5,14.5,14.7,28,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,07,18,0.1,2.5,3.7,077,074,27.5,20.5,24.0,13.5,12.3,13.2,14.7,15.2,29,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,07,25,0.2,2.2,5.3,077,074,27.0,20.9,24.0,14.4,13.2,11.3,12.5,13.1,30,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,08,15,0.1,1.3,1.9,091,086,24.5,21.2,22.9,15.7,15.7,16.7,14.3,15.6,33,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,08,22,0.0,2.5,4.1,090,072,27.0,20.5,23.8,17.5,18.1,16.7,16.2,15.1,34,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,08,29,0.0,3.4,6.5,071,057,31.8,19.2,25.5,13.9,11.0,11.3,13.3,13.6,35,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,09,05,0.1,2.4,3.2,091,078,27.0,20.8,23.9,16.5,16.7,16.3,14.3,13.1,36,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2002,09,12,0.0,3.3,3.9,084,061,29.9,19.4,24.7,11.5,8.6,9.5,10.3,11.5,37,DHR,15,26,75,07,ITALIAN,MILLET HMT-1,120602,180902
43202,2003,07,03,0.0,2.4,1.7,096,066,26.9,21.0,24.0,13.5,13.8,11.7,5.3,27,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,07,10,0.0,2.9,0.6,085,071,28.1,22.1,25.1,11.3,11.1,5.8,9.7,28,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,07,17,0.4,1.0,098,095,23.9,21.1,22.5,16.5,17.1,13.9,9.6,13.7,29,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,07,24,0.0,2.7,0.9,080,070,29.6,22.2,25.9,14.8,10.9,8.3,8.3,11.3,30,DHR,15,26,75,07,ITALIAN,MILLET HMT,1,020703
43202,2003,07,31,0.0,3.1,2.0,083,071,29.1,21.1,25.1,13.9,13.5,14.1,10.3,11.9,31,DHR,15,26,75,07,ITALIAN,MILLET HMT,1,020703
43202,2003,08,07,0.0,3.3,3.4,084,061,28.7,21.6,25.2,10.4,9.5,7.5,8.3,15.1,32,DHR,15,26,75,07,ITALIAN,MILLET HMT,1,020703
43202,2003,08,14,0.0,2.4,2.6,091,083,27.5,21.1,24.3,11.5,7.5,8.9,9.7,33,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,08,21,0.4,1.4,0.9,095,086,23.0,21.0,22.0,16.7,12.9,7.8,7.0,34,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,08,28,0.0,2.8,2.9,084,070,27.4,21.1,24.3,9.8,5.9,5.9,8.1,35,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,09,11,0.0,2.9,2.7,091,072,28.3,18.2,23.3,10.9,14.0,6.3,8.3,37,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,09,18,0.0,2.3,1.5,093,082,26.5,20.0,23.3,14.5,11.6,10.9,8.1,10.1,38,DHR,15,26,75,07,ITALIAN,MILLET HMT,1,020703
43202,2003,09,25,0.2,2.5,1.1,072,076,26.3,20.5,23.4,4.3,4.5,4.6,6.3,39,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,10,02,0.0,2.9,077,070,28.8,21.0,24.9,6.5,5.3,5.9,7.5,7.9,40,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,020703,151003
43202,2003,10,09,0.0,2.9,0.7,090,065,29.1,21.0,25.1,10.3,12.3,11.5,4.3,11.4,41,DHR,15,26,75,07,ITALIAN,MILLET HMT,1,020703
43202,2005,07,07,0.1,3.1,093,068,27.6,21.6,24.6,17.1,18.9,16.6,17.9,18.2,27,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,07,14,0.0,0.8,086,058,31.1,21.0,26.1,18.7,17.1,17.6,16.9,15.9,28,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,07,21,1.0,0.9,091,071,28.1,19.8,24.0,14.7,16.7,15.7,16.0,16.3,29,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,07,28,0.9,4.0,095,090,24.4,21.0,22.7,20.8,19.9,18.6,19.0,18.9,30,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,08,04,0.5,1.6,091,079,25.2,20.6,22.9,20.7,20.1,21.5,19.4,18.9,31,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,08,11,0.3,4.7,093,079,26.6,20.6,23.6,21.3,23.8,23.3,20.7,20.5,32,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,08,18,0.3,0.2,096,085,25.6,20.1,22.9,18.5,22.3,20.2,20.1,19.7,33,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,08,25,0.0,4.6,086,058,29.8,19.6,24.7,4.5,14.7,16.2,15.7,16.2,34,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,09,01,5.9,4.6,098,069,28.8,20.9,24.9,22.6,22.6,21.2,20.5,19.9,35,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,09,08,0.0,4.4,095,071,28.2,21.6,24.9,14.5,19.3,19.1,17.6,16.8,36,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,09,29,2.1,0.5,095,089,25.8,19.8,22.8,18.8,19.5,20.6,19.5,20.3,39,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,10,06,0.0,1.7,083,046,31.6,19.8,25.7,17.5,18.4,18.3,18.3,18.5,40,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
43202,2005,10,13,0.5,2.0,098,064,30.6,20.1,25.4,17.8,17.5,17.3,17.9,15.9,41,DHR,15,26,75,07,ITALIAN,MILLET,HMT 1,060705,171005
