Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42344,2001,01,02,0.0,2.3,2.7,8.4,085,044,20.4,8.9,14.7,0.3,2.1,3.3,4.1,4.9,5.7,0.4,1.6,3.1,3.5,4.6,5.1 01,DGP,26
42344,2001,01,09,0.0,1.8,3.3,8.5,097,033,20.4,5.1,12.7,1.2,5.9,5.8,6.2,6.3,6.3,0.3,1.8,3.7,5.9,6.2,6.7 02,DGP,26
42344,2001,01,16,0.0,2.3,5.2,9.3,053,020,22.7,5.4,14.1,4.9,4.3,8.5,8.4,8.3,8.0,6.8,6.4,8.1,8.5,8.3,8.2 03,DGP,26
42344,2001,01,23,0.0,3.3,5.9,9.2,065,034,24.2,6.6,15.4,0.8,6.4,6.7,7.3,7.3,7.5,0.9,3.1,6.2,6.6,7.3,8.8 04,DGP,26
42344,2001,01,30,0.0,4.1,9.1,9.5,028,018,25.7,13.1,19.4,8.4,7.6,8.7,8.5,8.4,9.3,10.9,7.1,8.3,9.6,9.0,8.9 05,DGP,26
42344,2001,02,06,0.0,3.2,7.8,9.4,045,010,24.8,6.0,15.4,1.5,5.6,6.6,7.0,7.5,7.4,0.9,5.4,6.3,6.3,6.7,6.9 06,DGP,26
42344,2001,02,13,0.0,4.2,3.9,9.7,062,011,28.6,11.7,20.1,0.5,4.9,5.5,5.6,6.1,6.1,0.1,1.6,2.6,3.4,3.5,3.8 07,DGP,26
42344,2001,02,20,0.0,4.0,5.3,9.2,072,018,27.4,13.6,20.5,8.7,8.4,9.0,7.2,6.4,6.5,9.7,7.7,8.3,6.2,4.9,5.1 08,DGP,26
42344,2001,02,27,0.0,6.0,7.8,10.0,080,020,27.0,13.8,20.4,1.3,5.5,5.7,5.6,5.8,6.0,0.9,2.8,3.2,3.2,3.2,3.1 09,DGP,26
42344,2001,03,06,0.0,6.4,7.9,9.8,056,013,27.3,10.3,18.8,9.1,8.3,9.0,7.5,7.2,6.5,10.0,9.0,9.1,8.2,4.1,3.4 10,DGP,26
42344,2001,03,13,0.0,6.0,7.4,9.0,033,009,33.4,17.6,25.5,0.7,3.9,4.4,4.2,3.3,3.1,0.4,3.2,5.4,5.5,5.7,5.5 11,DGP,26
42344,2001,03,20,0.0,11.2,2.8,6.8,036,010,33.8,19.4,26.6,0.7,2.2,2.4,4.0,3.7,3.1,4.0,1.8,3.3,4.1,4.7,4.5 12,DGP,26
42344,2001,03,27,0.0,8.0,1.5,9.9,060,016,34.0,18.2,26.1,0.3,1.1,2.5,3.3,3.2,3.0,0.3,0.9,2.2,3.2,3.3,3.2 13,DGP,26
42344,2001,08,07,1.4,4.4,2.0,7.8,080,075,32.5,26.4,29.5,1.1,4.6,4.3,5.5,6.0,5.8,0.5,2.0,2.8,4.4,4.8,5.3 32,DGP,26
42344,2001,08,14,78.0,2.0,3.3,8.3,087,057,34.8,23.6,29.2,10.7,8.1,9.3,8.3,8.7,5.6,11.9,8.9,9.1,10.6,9.7,9.1 33,DGP,26
42344,2001,08,21,0.0,5.0,5.5,10.6,081,058,33.1,25.1,29.1,1.0,5.8,7.0,7.3,8.5,8.2,2.0,5.1,6.0,7.4,8.1,7.6 34,DGP,26
42344,2001,08,28,0.0,6.0,8.7,11.0,076,040,34.2,23.2,28.7,0.7,4.1,5.2,6.4,6.6,6.4,0.5,1.7,1.9,3.0,4.6,4.8 35,DGP,26
42344,2001,09,04,0.0,6.4,3.8,9.8,071,045,34.8,24.2,29.5,0.1,2.6,3.1,5.1,5.2,5.0,0.2,1.5,1.6,2.3,2.2,2.3 36,DGP,26
42344,2001,09,11,0.0,5.0,8.9,9.9,064,039,35.6,23.9,29.7,0.5,4.3,5.6,6.7,6.8,6.8,0.6,3.0,4.1,5.3,5.9,6.5 37,DGP,26
42344,2001,09,18,0.0,4.0,8.0,9.7,065,026,36.4,22.6,29.5,3.7,6.6,7.2,8.3,9.6,9.3,3.3,6.5,6.8,6.8,6.0,2.3 38,DGP,26
42344,2001,09,25,0.0,8.8,6.7,8.1,034,020,38.2,26.7,32.5,0.2,4.3,5.3,6.5,8.4,7.9,0.3,1.7,2.8,6.9,5.1,4.9 39,DGP,26
42344,2001,10,02,0.0,5.0,2.9,8.9,070,042,34.8,24.7,29.7,0.1,3.4,4.7,4.7,4.7,5.9,0.3,1.6,5.4,7.0,7.0,7.0 40,DGP,26
42344,2001,10,09,0.0,5.3,6.8,9.1,048,031,36.4,21.2,28.8,0.9,4.5,5.8,6.3,7.3,6.3,1.3,5.0,5.7,7.2,7.0,6.8 41,DGP,26
42344,2001,10,16,0.0,3.5,5.9,9.4,083,020,33.3,18.3,25.8,1.2,6.1,7.3,7.6,7.2,3.1,1.4,5.8,6.6,8.4,8.7,8.2 42,DGP,26
42344,2001,10,23,0.0,3.5,4.5,9.6,062,018,35.4,19.5,27.5,0.9,4.8,4.9,5.4,5.4,7.3,1.0,4.7,5.0,4.6,5.4,5.1 43,DGP,26
42344,2001,10,30,0.0,3.8,3.5,9.2,043,020,33.5,19.3,26.4,0.7,4.5,5.2,5.4,4.9,4.7,0.7,1.9,2.1,2.8,4.5,4.9 44,DGP,26
42344,2001,12,25,0.0,2.9,0.5,9.4,086,020,23.8,6.8,15.3,2.7,5.8,6.4,6.7,7.3,6.4,52,DGP,26,51,75,47 RAJ-3765,201201,060402
42344,2002,01,01,0.0,1.9,0.5,9.4,073,022,23.8,6.2,15.0,1.2,5.5,7.6,6.9,6.1,4.2,0.8,6.7,7.1,7.3,6.8,6.1 01,DGP,26
42344,2002,01,08,0.0,2.1,1.4,8.4,090,035,22.3,7.7,15.0,1.2,5.7,5.5,7.3,6.9,6.9,0.6,3.7,5.0,6.3,6.9,7.2 02,DGP,26
42344,2002,01,15,0.0,3.8,2.7,7.0,064,032,26.8,14.6,20.7,4.5,7.5,9.2,9.1,8.6,8.4,2.9,7.5,8.3,8.8,9.0,9.1 03,DGP,26
42344,2002,01,22,0.0,3.1,2.5,9.0,092,026,19.9,9.6,14.7,4.1,6.1,6.6,6.6,4.8,3.8,2.1,7.1,7.3,7.6,7.9,8.1 04,DGP,26
42344,2002,01,29,0.0,2.3,2.3,9.5,091,026,28.8,6.2,17.5,3.6,7.4,8.9,8.2,8.2,8.0,0.9,6.0,7.7,7.9,7.7,8.1 05,DGP,26
42344,2002,02,05,0.0,3.7,3.8,9.4,082,016,23.9,14.7,19.3,0.5,5.7,6.7,6.5,6.8,7.1,0.2,4.5,6.1,6.4,6.9,6.9 06,DGP,26
42344,2002,02,12,1.4,0.4,4.9,0.4,089,097,12.6,5.2,8.9,13.1,10.9,11.5,10.5,10.2,10.3,11.6,10.9,11.3,10.3,10.3,8.8 07,DGP,26
42344,2002,02,19,0.0,3.0,6.8,9.6,070,023,29.5,15.7,22.6,1.2,5.3,6.2,7.1,7.2,6.7,1.1,2.6,3.0,3.8,4.4,5.5 08,DGP,26
42344,2002,02,26,0.0,5.4,6.9,10.0,081,016,26.3,14.1,20.2,10.2,7.9,9.4,9.5,9.3,9.4,8.0,7.5,8.0,9.2,9.7,9.4 09,DGP,26
42344,2002,03,05,0.0,4.0,6.9,9.5,059,021,25.6,10.5,18.1,1.2,6.4,7.0,7.1,7.9,7.6,0.8,3.6,5.9,6.7,7.1,7.3 10,DGP,26
42344,2002,03,12,0.0,4.8,4.8,10.0,058,016,27.6,16.4,22.0,0.5,3.0,3.5,5.7,6.2,6.7,0.4,2.3,3.6,5.3,6.4,6.6 11,DGP,26
42344,2002,03,19,0.0,7.1,8.9,10.7,053,009,35.2,16.6,25.9,9.2,8.5,11.1,9.7,8.7,7.4,10.1,8.7,11.2,10.9,9.6,8.5 12,DGP,26
42344,2002,03,26,0.0,8.0,5.1,8.0,057,012,33.4,20.8,27.1,1.0,6.9,8.3,8.3,8.6,8.2,1.4,6.0,8.2,8.0,8.0,7.1 13,DGP,26
42344,2002,04,02,0.0,8.6,2.4,8.3,027,016,36.4,18.6,27.5,0.5,2.6,5.6,6.2,6.0,6.1,0.5,3.6,6.5,6.2,6.1,5.3 14,DGP,26
42344,2002,08,06,0.0,4.0,5.7,7.7,094,057,33.9,26.2,30.1,3.9,6.2,7.0,8.3,8.1,5.0,4.5,5.8,6.9,6.5,7.7,4.6 32,DGP,26
42344,2002,08,13,0.0,4.5,1.8,5.5,081,049,32.4,25.9,29.1,3.5,5.3,6.9,7.4,7.7,7.5,3.6,5.3,7.0,7.3,7.8,7.5 33,DGP,26
42344,2002,08,20,0.0,6.5,2.7,9.5,057,033,37.6,27.5,32.5,0.5,5.1,6.4,7.6,7.5,7.6,0.5,4.8,6.3,7.5,7.6,7.5 34,DGP,26
42344,2002,08,27,0.0,6.4,1.8,7.6,091,059,30.4,23.2,26.8,0.7,2.0,5.3,6.3,6.3,6.4,0.5,1.4,1.9,2.2,2.2,3.2 35,DGP,26
42344,2002,09,03,0.0,7.0,3.3,8.3,076,043,35.6,27.7,31.7,0.7,1.7,2.5,2.4,4.9,5.1,0.5,1.3,1.5,1.7,1.8,2.3 36,DGP,26
42344,2002,09,10,0.0,5.0,7.1,9.0,071,041,34.3,24.3,29.3,0.6,3.1,4.2,5.7,4.7,5.1,0.9,3.2,4.9,4.8,5.7,3.0 37,DGP,26
42344,2002,09,17,0.0,7.2,2.8,10.2,048,027,35.7,23.2,29.5,0.2,3.9,4.1,4.7,4.6,4.9,0.1,0.9,1.3,2.6,2.2,2.0 38,DGP,26
42344,2002,09,24,0.0,9.5,7.1,8.9,074,032,35.6,23.4,29.5,0.4,1.9,4.3,5.8,6.3,6.3,0.8,1.6,6.0,7.8,7.5,7.4 39,DGP,26
42344,2002,10,01,0.0,9.3,4.5,9.3,050,008,37.8,23.7,30.7,0.1,1.3,3.0,3.8,3.9,3.9,0.2,2.2,3.3,4.7,4.9,5.9 40,DGP,26
42344,2002,10,08,0.0,9.0,1.5,9.0,032,010,37.2,24.2,30.7,0.1,1.5,2.7,3.6,4.4,3.8,0.4,1.0,1.6,2.4,2.7,3.1 41,DGP,26
42344,2002,10,15,0.0,7.0,0.7,9.7,064,029,34.4,23.1,28.7,0.2,1.3,2.3,3.6,3.7,3.5,0.4,1.0,1.5,2.1,2.3,2.7 42,DGP,26
42344,2002,11,12,0.0,4.4,0.6,7.5,038,018,28.9,17.8,23.3,0.4,0.5,1.3,1.8,0.5,5.2,5.8,6.3,6.3,6.4,46,DGP 26,51,75
42344,2002,11,19,0.0,4.7,1.0,8.2,054,013,31.4,15.2,23.3,0.3,0.4,0.6,1.3,0.5,4.0,5.1,5.0,5.8,5.9,47,DGP 26,51,75
