Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43118,2002,01,07,0.0,4.0,0.8,7.6,094,061,30.0,17.2,23.6,8.7,14.8,23.2,25.4,27.3,30.9,8.4,12.7,22.4,24.4,26.3,30.1 01,SLP,17
43118,2002,01,21,0.0,5.7,1.0,9.1,081,060,30.5,15.0,22.7,6.4,11.6,19.7,23.4,25.6,28.3,6.6,9.5,18.3,23.2,24.5,26.5 03,SLP,17
43118,2002,01,28,0.0,6.1,0.6,9.6,082,058,29.5,11.0,20.3,5.3,10.3,16.3,22.0,23.9,25.6,5.7,9.3,13.1,21.0,22.9,23.3 04,SLP,17
43118,2002,08,12,2.7,3.7,2.5,3.3,071,077,30.7,23.0,26.9,38.2,36.1,37.5,37.1,33.3,22.5,32,SLP,17,04,75,54 4,BARE,SOIL
43118,2002,09,09,0.0,4.2,4.4,8.1,083,054,31.6,19.0,25.3,30.4,33.2,35.9,37.1,41.7,42.7,36,SLP,17,04,75,54 4,BARE,SOIL
43118,2002,09,16,0.0,6.7,1.0,8.5,086,042,35.1,22.5,28.8,22.7,26.9,33.3,34.6,37.5,30.9,37,SLP,17,04,75,54 4,BARE,SOIL
43118,2002,09,23,0.0,7.2,1.1,8.3,084,039,35.5,23.5,29.5,12.6,26.4,31.2,31.3,33.7,25.5,38,SLP,17,04,75,54 4,BARE,SOIL
43118,2002,09,30,0.0,6.2,0.9,6.5,084,038,35.3,19.6,27.5,10.7,19.5,28.0,30.1,31.5,26.5,39,SLP,17,04,75,54 4,BARE,SOIL
43118,2002,10,07,0.0,8.1,1.0,8.8,052,027,37.8,20.5,29.1,10.5,16.4,23.0,30.5,31.6,29.6,10.6,16.5,22.3,29.7,29.0,30.6 40,SLP,17
43118,2002,10,21,0.0,4.6,2.3,8.9,083,033,34.0,19.5,26.8,17.3,20.3,30.4,40.8,40.3,41.3,16.7,20.2,31.3,39.4,39.6,39.2 42,SLP,17
43118,2002,10,28,0.0,6.0,1.7,9.6,077,034,33.1,15.1,24.1,11.5,20.9,28.1,37.9,39.0,38.0,12.0,20.2,25.7,36.3,38.1,37.0 43,SLP,17
43118,2002,11,11,0.0,4.2,2.9,5.7,078,052,32.0,20.9,26.5,10.9,12.7,21.6,34.6,34.7,32.4,11.1,15.0,20.9,33.0,32.2,31.1 45,SLP,17
43118,2002,11,18,0.0,5.6,5.3,9.5,062,023,32.7,14.4,23.5,10.3,13.3,21.9,31.4,32.2,30.8,10.0,13.2,20.4,30.9,31.4,30.6 46,SLP,17
43118,2002,11,25,0.0,6.4,6.1,9.3,058,031,33.0,13.0,23.0,6.4,11.4,20.0,29.4,32.9,28.6,7.4,9.5,19.8,28.1,31.7,28.5 47,SLP,17
43118,2002,12,02,0.0,5.0,3.0,9.3,056,022,33.8,15.2,24.5,7.1,10.4,16.2,28.7,33.5,28.7,7.5,9.5,17.9,27.8,31.3,27.7 48,SLP,17
43118,2002,12,09,0.0,5.9,2.8,7.6,063,022,32.7,14.4,23.5,5.4,9.4,17.7,23.7,31.3,25.4,7.0,9.3,16.9,27.0,33.0,25.4 49,SLP,17
43118,2002,12,23,0.0,5.8,1.9,9.3,059,023,31.7,14.0,22.9,5.6,6.3,12.4,24.3,27.8,24.7,5.7,6.3,13.8,23.9,26.1,24.0 51,SLP,17
43118,2002,12,30,0.0,5.7,1.5,8.9,057,029,31.7,15.4,23.5,4.8,6.6,11.9,22.9,25.7,22.6,3.5,5.8,12.3,24.4,25.2,24.0 52,SLP,17
43118,2003,01,06,0.0,5.7,1.2,9.5,065,032,32.1,14.8,23.5,3.0,22.3,25.5,24.4,2.8,21.3,25.1,22.9,01,SLP,17,04 75,54,SORGHUM
43118,2003,01,13,0.0,5.3,0.8,5.8,061,033,31.0,15.8,23.4,3.7,17.7,24.2,25.2,3.4,16.9,23.7,22.1,02,SLP,17,04 75,54,SORGHUM
43118,2003,01,27,0.0,6.1,0.6,7.9,047,026,34.2,19.7,26.9,2.8,13.2,19.4,21.9,2.2,17.1,20.2,20.5,04,SLP,17,04 75,54,SORGHUM
