Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43273,2000,08,09,0.0,2.9,0.7,0.8,095,060,30.8,24.9,27.9,13.3,8.5,8.9,7.1,12.0,8.5,8.2,6.9,32,TPT,13,27 79,36,REDGRAM
43273,2000,08,16,0.0,4.9,5.5,4.8,085,049,32.5,23.0,27.8,3.9,8.3,9.1,8.6,3.4,8.0,8.0,8.1,33,TPT,13,27 79,36,REDGRAM
43273,2000,08,23,9.8,0.8,0.6,0.0,087,084,26.6,22.6,24.6,9.1,8.1,7.3,8.3,9.1,8.3,7.5,8.5,34,TPT,13,27 79,36,REDGRAM
43273,2000,08,30,0.0,8.0,6.9,9.9,061,040,34.1,26.0,30.1,2.5,7.1,8.1,8.0,2.2,7.7,7.3,8.3,35,TPT,13,27 79,36,REDGRAM
43273,2000,09,06,0.0,6.4,5.3,5.9,068,042,34.0,23.3,28.7,1.8,5.9,6.4,7.1,1.5,5.3,5.6,6.9,36,TPT,13,27 79,36,REDGRAM
43273,2000,09,13,0.5,3.5,1.7,5.8,056,068,33.6,24.2,28.9,1.2,5.5,6.1,6.7,1.5,4.7,5.5,6.8,37,TPT,13,27 79,36,REDGRAM
43273,2000,09,20,57.4,4.2,8.5,4.9,087,060,32.1,21.4,26.8,14.7,16.1,10.5,7.5,14.2,15.7,9.5,6.7,38,TPT,13,27 79,36,REDGRAM
43273,2000,09,27,0.0,3.3,4.5,3.3,087,055,31.8,23.7,27.8,9.9,8.1,8.2,8.7,4.1,8.3,8.3,9.5,39,TPT,13,27 79,36,REDGRAM
43273,2000,10,11,0.0,4.6,9.0,084,054,32.0,22.7,27.4,9.5,10.9,13.9,13.7,8.7,10.5,11.8,13.9,41,TPT,13,27,79 36,REDGRAM,C-11
43273,2000,10,18,0.0,1.6,4.9,0.0,070,057,30.0,24.4,27.2,3.3,5.7,8.9,10.1,3.2,5.9,7.7,10.6,42,TPT,13,27 79,36,REDGRAM
43273,2000,10,25,0.0,5.1,7.7,10.1,077,052,32.8,15.7,24.3,3.3,5.7,8.9,10.3,3.2,5.5,8.3,10.7,43,TPT,13,27 79,36,REDGRAM
43273,2000,11,01,0.0,4.2,1.1,5.2,074,051,32.5,20.4,26.5,2.6,4.3,7.8,8.8,2.2,4.5,6.9,8.9,44,TPT,13,27 79,36,REDGRAM
43273,2000,11,08,0.0,6.0,1.6,8.5,076,044,31.6,18.8,25.2,2.4,4.6,7.5,8.3,2.1,4.8,7.1,8.9,45,TPT,13,27 79,36,REDGRAM
43273,2000,11,15,0.0,2.7,1.9,5.0,076,056,30.0,19.6,24.8,2.6,4.9,7.8,8.1,1.9,4.5,6.9,8.5,46,TPT,13,27 79,36,REDGRAM
43273,2000,11,22,0.0,4.2,0.3,5.4,080,052,30.9,22.1,26.5,2.2,4.5,7.2,7.5,1.9,4.2,6.6,7.9,47,TPT,13,27 79,36,REDGRAM
43273,2000,11,29,0.8,3.2,1.5,1.2,073,052,28.3,22.8,25.6,3.3,4.5,6.8,7.3,2.9,4.2,6.1,7.5,48,TPT,13,27 79,36,REDGRAM
43273,2000,12,06,0.0,3.1,2.8,8.3,094,058,28.3,16.5,22.4,5.5,4.5,6.7,7.5,5.0,4.7,6.1,7.1,49,TPT,13,27 79,36,REDGRAM
43273,2000,12,13,0.0,4.0,4.1,9.4,079,045,27.9,11.6,19.8,3.3,4.1,6.1,6.5,2.9,4.2,5.3,6.2,50,TPT,13,27 79,36,REDGRAM
43273,2000,12,20,0.0,3.8,2.4,8.3,075,052,28.2,14.6,21.3,2.7,3.8,6.1,6.3,2.7,3.8,5.1,6.5,51,TPT,13,27 79,36,REDGRAM
43273,2000,12,27,0.0,6.0,2.8,8.1,070,045,28.4,22.1,25.3,2.7,3.7,5.7,6.1,2.2,3.4,4.9,6.3,52,TPT,13,27 79,36,REDGRAM
43273,2001,01,03,0.0,3.0,1.4,4.3,088,067,28.0,20.0,24.0,1.7,2.3,4.9,5.9,1.3,2.5,4.5,5.5,01,TPT,13,27 79,36,RED
43273,2001,01,10,0.0,2.4,1.5,0.0,087,054,26.7,19.5,23.1,1.2,2.1,4.3,5.6,1.1,2.0,4.0,5.7,02,TPT,13,27 79,36,RED
43273,2001,01,17,0.0,3.4,1.0,5.4,089,052,29.2,15.0,22.1,1.1,1.9,4.1,5.2,0.9,1.7,3.7,5.3,03,TPT,13,27 79,36,RED
43273,2001,01,24,0.0,4.2,1.0,2.9,087,046,30.0,16.5,23.3,0.9,1.7,3.9,5.1,0.7,1.5,3.7,5.3,04,TPT,13,27 79,36,RED
43273,2001,01,31,0.0,4.4,0.9,8.5,084,048,29.3,13.6,21.5,0.7,1.7,3.7,4.9,0.7,1.6,3.3,5.0,05,TPT,13,27 79,36,RED
43273,2001,02,07,0.0,6.0,0.9,9.8,073,035,33.9,15.3,24.6,0.3,1.4,2.7,4.7,0.3,1.2,2.5,4.7,06,TPT,13,27 79,36,RED
43273,2001,02,14,0.0,4.6,0.1,9.3,079,038,32.0,15.0,23.5,0.2,1.2,2.4,4.1,0.1,0.9,2.1,4.1,07,TPT,13,27 79,36,RED
43273,2001,08,01,4.8,2.8,0.7,1.3,064,055,32.5,24.1,28.3,5.0,5.7,6.8,5.2,4.5,5.5,5.7,5.1,31,TPT,13,27 79,36,RED
43273,2001,08,15,0.0,7.1,0.9,4.2,065,046,33.0,27.0,30.0,1.2,3.5,4.7,4.1,0.9,3.1,4.3,4.9,33,TPT,13,27 79,36,RED
43273,2001,08,22,3.2,7.4,2.0,7.7,062,040,34.8,24.6,29.7,1.7,3.1,4.5,4.1,1.5,3.1,4.2,4.2,34,TPT,13,27 79,36,RED
43273,2001,08,29,0.0,9.2,1.3,7.7,068,037,34.7,26.7,30.7,1.5,3.1,4.3,4.1,1.4,3.0,3.9,4.2,35,TPT,13,27 79,36,RED
43273,2001,09,05,0.0,9.4,1.5,9.0,052,031,37.3,26.6,31.9,1.2,2.9,4.3,4.1,0.9,2.9,3.5,4.1,36,TPT,13,27 79,36,RED
43273,2001,09,12,0.0,4.0,3.7,2.8,084,041,35.9,24.8,30.4,2.5,3.3,4.3,4.1,2.3,3.1,3.5,3.9,37,TPT,13,27 79,36,RED
43273,2001,09,19,47.8,3.8,8.4,2.3,078,046,34.5,20.6,27.5,19.3,20.3,12.7,5.5,16.8,19.5,11.5,5.9,38,TPT,13,27 79,36,RED
43273,2001,09,26,0.0,3.3,4.5,1.1,087,060,30.0,24.4,27.2,4.3,9.1,12.4,13.8,3.4,9.7,10.4,14.3,39,TPT,13,27 79,36,RED
