Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43101,2000,01,06,0.0,3.9,1.5,9.1,091,049,29.2,15.8,22.5,0.5,4.2,8.1,9.0,11.4,11.7,10.8,9.6,9.6,9.3,9.6,8.4 01,06,ANK
43101,2000,01,13,0.0,4.3,1.9,9.9,097,039,32.8,13.7,23.3,0.5,3.1,5.9,7.5,10.5,11.7,14.9,12.1,10.8,9.9,9.0,8.4 02,ANK,17
43101,2000,01,20,0.0,4.6,3.7,8.8,098,047,32.8,17.3,25.1,0.5,3.1,5.0,5.9,10.5,11.4,17.3,14.3,12.7,10.8,9.6,9.6 03,ANK,17
43101,2000,01,27,0.0,4.1,4.3,8.0,098,049,30.0,18.6,24.3,0.5,2.9,4.1,5.5,10.5,11.4,13.3,14.9,16.7,14.9,17.7,14.0 04,ANK,17
43101,2000,02,03,0.0,5.0,2.9,9.9,098,048,30.2,15.3,22.7,0.5,2.6,3.9,5.3,10.2,11.1,05,ANK,17,38,83,01 GREEN,GRAM,MGG-295
43101,2000,02,10,0.0,2.8,1.6,4.2,098,063,29.9,21.9,25.9,1.0,2.0,3.3,5.0,10.5,11.4,9.6,13.3,12.7,13.3,14.6,14.6 06,ANK,17
43101,2000,02,17,0.0,4.0,3.2,6.4,096,061,31.4,20.5,25.9,0.7,2.0,3.1,4.7,10.5,11.1,5.5,7.8,9.7,11.7,11.3,15.3 07,ANK,17
43101,2000,07,06,0.0,4.5,2.7,5.5,087,060,34.0,26.6,30.3,6.7,8.4,10.8,13.0,14.9,14.6,17.9,16.9,15.3,13.9,13.3,11.4 27,ANK,17
43101,2000,07,13,0.6,2.5,1.1,0.0,096,077,28.3,25.0,26.7,15.9,11.4,14.6,15.9,16.6,13.6,30.7,27.8,26.2,24.6,24.2,23.9 28,ANK,17
43101,2000,07,20,0.4,4.9,4.8,4.8,081,066,31.2,25.9,28.5,6.4,6.1,10.8,13.7,13.9,12.3,12.3,17.3,16.9,16.6,16.3,14.9 29,ANK,17
43101,2000,07,27,0.2,3.4,4.1,1.8,086,068,32.5,25.0,28.7,3.3,7.8,10.8,13.9,15.6,14.6,7.5,10.5,12.1,11.1,12.3,15.3 30,ANK,17
43101,2000,08,03,0.0,5.3,5.7,6.5,092,062,33.4,27.3,30.3,2.9,7.5,10.5,14.3,14.9,14.3,7.3,15.6,16.3,15.9,16.6,17.6 31,ANK,17
43101,2000,08,10,6.2,1.8,2.0,0.0,093,076,31.4,25.0,28.2,11.4,7.2,7.8,10.2,11.1,12.1,21.2,16.9,14.3,15.6,17.9,19.1 32,ANK,17
43101,2000,08,17,0.6,4.0,7.4,6.0,092,061,33.6,26.4,30.0,9.3,13.3,17.0,16.3,16.7,9.3,18.7,15.6,16.6,18.7,18.3,16.6 33,ANK,17
43101,2000,08,24,12.6,3.5,7.5,6.5,098,075,31.8,26.0,28.9,18.0,14.6,15.6,16.3,16.7,15.3,34,ANK,17,38,83,01 GROUND,NUT,K-134
43101,2000,08,31,15.8,1.0,2.2,0.0,087,097,28.0,24.5,26.3,11.4,10.8,11.4,13.3,14.3,14.3,35,ANK,17,38,83,01 GROUND,NUT,K-134
