Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43261,2007,08,06,3.4,2.8,2.7,0.7,098,060,25.2,19.5,22.4,17.4,17.3,15.2,15.7,32,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,08,13,0.0,4.8,3.1,0.3,093,050,27.8,18.6,23.2,12.8,12.7,13.1,14.1,33,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,08,20,0.0,5.2,3.8,10.3,096,039,30.2,19.6,24.9,8.1,8.1,9.5,9.7,34,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,08,27,0.4,4.4,3.8,5.7,098,057,27.2,19.6,23.4,11.7,13.7,15.9,16.5,35,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,09,03,6.8,3.6,3.2,1.9,098,055,26.0,18.8,22.4,13.3,13.1,15.0,15.3,36,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,09,10,11.3,4.0,9.0,5.3,098,051,24.0,18.8,21.4,16.0,15.2,13.6,13.5,37,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,09,17,8.0,4.0,3.5,0.0,093,093,26.0,18.0,22.0,18.7,16.3,16.5,18.1,38,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,09,24,0.0,4.8,3.5,5.5,089,060,30.0,18.6,24.3,8.8,10.9,11.5,12.1,39,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,10,01,0.0,4.4,5.3,2.8,095,049,28.5,19.6,24.1,7.1,7.1,6.5,6.8,40,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,10,08,0.0,4.9,3.5,9.0,093,051,28.8,18.0,23.4,4.1,5.5,5.9,5.9,41,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,10,15,0.0,5.2,2.7,9.9,086,045,30.2,16.4,23.3,5.0,6.8,8.0,8.3,42,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,10,22,0.0,4.5,2.1,5.2,084,053,27.2,18.6,22.9,17.1,15.6,15.9,16.2,43,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,10,29,13.8,3.8,2.7,0.0,094,064,26.8,15.4,21.1,15.8,15.1,14.9,15.1,44,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2007,11,05,0.0,4.6,0.7,0.5,094,053,24.4,17.6,21.0,16.2,15.9,15.5,16.0,45,BNG,13,00,77,37,FIELD,BEAN -,HA-4,310707
43261,2008,08,18,0.7,4.0,3.7,1.7,093,054,26.4,20.0,23.2,10.3,8.9,9.7,10.1,33,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,08,25,0.0,4.8,2.5,9.2,093,048,28.6,19.6,24.1,7.9,12.2,16.1,16.4,34,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,09,08,0.0,3.8,2.1,0.6,096,058,26.0,19.8,22.9,15.4,14.7,14.5,16.5,36,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,09,15,0.0,3.9,0.6,7.6,096,059,25.8,17.8,21.8,8.9,10.9,11.1,13.7,37,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,09,22,0.0,4.9,2.8,9.3,094,046,29.0,18.0,23.5,5.4,8.4,10.7,12.1,38,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,09,29,0.0,5.1,2.7,8.0,086,043,30.2,17.8,24.0,5.7,8.1,7.4,9.3,39,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,10,06,0.0,4.1,1.6,2.8,093,043,29.6,19.2,24.4,11.3,10.7,7.7,9.1,40,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,10,13,0.0,4.8,1.7,4.3,091,050,27.8,19.4,23.6,9.1,10.0,11.7,12.3,41,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,10,20,4.0,3.9,1.9,6.2,089,051,29.0,17.6,23.3,13.9,11.7,9.8,10.7,42,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,10,27,0.0,4.6,2.5,2.4,089,058,26.2,11.4,18.8,11.7,11.7,11.5,12.5,43,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,11,03,0.0,4.9,2.5,10.6,091,051,27.2,12.0,19.6,6.2,8.3,10.3,12.4,44,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,11,10,0.0,4.2,1.3,8.2,092,048,28.4,19.2,23.8,1.5,2.0,2.1,2.5,45,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,11,17,0.6,3.8,1.8,0.3,089,064,25.0,17.8,21.4,6.4,6.5,7.2,6.6,46,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,11,24,3.2,5.0,2.6,0.6,087,046,28.0,18.4,23.2,10.0,7.6,6.3,6.9,47,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,12,01,0.0,4.1,1.7,2.3,098,053,26.2,18.0,22.1,12.5,12.0,13.1,12.7,48,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,12,08,0.0,4.2,2.2,9.5,092,051,26.6,17.8,22.2,6.3,8.5,8.3,9.8,49,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,12,15,0.0,5.2,0.5,8.1,096,051,26.8,14.8,20.8,5.9,5.9,6.9,7.5,50,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,12,22,0.0,4.6,2.0,7.8,096,045,27.6,10.2,18.9,4.9,7.1,7.7,8.3,51,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2008,12,29,0.0,4.2,1.3,9.3,086,045,27.0,10.8,18.9,2.7,6.1,6.2,6.9,52,BNG,13,00,77,37,FIELD,BEANS -,HA-4,130808
43261,2014,03,03,4.8,4.8,4.6,9.0,093,038,30.6,18.8,24.7,15.5,15.5,48.7,29.1,09,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,03,10,0.0,5.4,0.8,8.3,091,040,30.0,19.2,24.6,22.7,17.5,1.9,29.3,10,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,03,17,0.0,8.3,0.7,10.4,080,035,33.0,17.0,25.0,29.1,24.3,25.3,23.9,11,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,03,24,0.0,8.0,0.2,9.6,074,033,34.0,19.0,26.5,22.3,22.4,26.9,20.3,12,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,03,31,0.0,9.4,0.1,10.2,071,032,35.2,20.2,27.7,19.5,15.5,14.0,18.5,13,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,04,07,0.0,9.2,0.5,10.0,075,027,36.6,22.8,29.7,17.1,16.5,14.9,10.9,14,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,04,14,1.1,5.4,1.2,8.6,073,041,34.0,19.6,26.8,17.6,19.5,11.7,13.1,15,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,04,21,0.0,7.6,0.7,11.1,076,028,35.2,19.0,27.1,15.9,15.1,12.6,12.1,16,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,04,28,0.0,7.0,0.6,6.0,088,030,37.0,22.4,29.7,15.5,14.3,14.8,15.6,17,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,05,05,0.0,6.8,6.8,7.7,083,029,34.8,21.6,28.2,9.4,13.2,17.9,14.1,18,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,05,12,0.0,5.2,5.2,8.6,079,040,33.0,19.6,26.3,15.7,11.4,20.4,11.1,19,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,05,19,4.2,5.2,5.2,9.2,085,040,33.8,19.6,26.7,19.5,14.9,14.9,18.4,20,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,05,26,0.0,5.4,5.4,10.4,091,036,34.6,22.0,28.3,16.4,10.6,15.9,12.2,21,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,06,02,0.0,6.2,2.4,10.1,087,036,33.8,22.8,28.3,10.4,17.8,10.7,11.4,22,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,06,09,0.0,4.8,4.9,10.0,093,046,31.0,20.4,25.7,12.9,10.9,11.6,11.5,23,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,06,16,1.4,5.2,5.0,6.0,093,043,30.8,19.8,25.3,15.8,15.7,13.9,15.2,24,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,06,23,0.0,5.6,2.3,8.0,083,042,31.6,20.4,26.0,19.4,15.3,14.6,10.3,25,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,07,07,0.0,2.6,4.7,0.0,095,058,26.8,20.0,23.4,18.9,10.8,10.9,11.9,27,BGL,13,00,77,37,G,BARE SOIL,110114,270914
43261,2014,07,14,2.2,2.8,1.1,0.3,093,070,24.8,20.0,22.4,17.4,11.5,12.9,12.9,28,BGL,13,00,77,37,G,BARE SOIL,110114,270914
