Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42185,2000,01,14,0.0,1.6,0.1,0.2,095,075,18.8,8.0,13.4,12.7,12.5,7.0,7.2,10.3,11.5,10.8,12.8,12.1,9.7,11.5,14.4 02,DLH,28
42185,2000,01,21,0.0,4.0,1.4,9.1,070,035,22.2,8.0,15.1,2.5,5.0,5.5,6.5,8.6,9.7,2.9,9.4,9.7,9.7,11.9,13.7 03,DLH,28
42185,2000,01,28,0.0,1.6,1.2,0.0,095,072,17.0,9.8,13.4,13.4,8.6,5.6,6.8,8.3,9.0,9.2,13.1,12.1,10.4,11.5,13.2 04,DLH,28
42185,2000,02,04,0.0,2.4,2.1,5.8,097,040,24.0,10.2,17.1,5.4,6.9,6.7,6.8,8.3,9.2,20.2,19.3,16.4,13.6,16.4,18.5 05,DLH,28
42185,2000,02,11,38.0,3.0,2.2,2.4,088,066,20.8,11.6,16.2,26.1,18.8,17.1,11.5,9.6,9.4,22.9,22.0,18.3,18.4,18.2,18.9 06,DLH,28
42185,2000,02,18,0.0,3.0,3.7,8.4,095,033,23.2,7.0,15.1,10.5,13.2,13.5,13.2,15.8,13.8,15.9,15.1,15.1,14.0,15.5,16.7 07,DLH,28
42185,2000,02,25,0.0,5.0,6.5,9.4,087,035,22.0,7.0,14.5,3.7,12.1,12.6,11.8,12.7,10.5,4.0,10.0,10.6,11.1,13.2,14.5 08,DLH,28
42185,2000,03,03,0.0,2.0,6.6,6.8,080,042,28.0,10.0,19.0,4.1,6.9,9.5,11.9,13.6,12.2,21.5,16.5,16.6,15.6,16.6,17.5 09,DLH,28
42185,2000,03,10,0.0,5.6,11.0,10.0,064,028,26.0,10.2,18.1,2.5,7.9,9.6,10.3,12.8,10.0,4.6,8.2,9.3,10.0,15.0,15.2 10,DLH,28
42185,2000,03,18,0.0,4.0,8.6,8.0,095,028,32.4,13.8,23.1,3.4,7.4,8.7,9.1,11.1,8.5,19.4,16.7,15.5,12.3,13.3,14.3 11,DLH,28
42185,2000,03,24,0.0,4.5,7.6,7.0,063,043,25.8,12.0,18.9,5.7,7.7,7.6,9.3,9.7,9.1,12.7,13.0,11.5,11.6,12.9,13.8 12,DLH,28
42185,2000,03,31,0.0,8.4,13.9,10.0,084,043,37.4,16.0,26.7,2.5,5.4,5.9,7.1,9.3,8.6,17.3,15.6,14.8,14.4,15.8,17.7 13,DLH,28
