Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42896,2007,03,22,0.0,9.1,087,042,34.2,24.6,29.4,1.2,2.5,3.5,7.7,6.2,9.9,12,RNTL,21,16,86,10,GREEN,GRAM PDM-4,160307,040607
42896,2007,03,29,0.0,8.1,086,058,35.2,24.8,30.0,2.0,3.1,4.9,4.1,4.0,8.9,13,RNTL,21,16,86,10,GREEN,GRAM PDM-4,160307,040607
42896,2007,04,05,0.0,7.4,092,048,37.4,26.6,32.0,1.4,2.1,5.0,5.5,6.5,9.9,4.2,8.4,8.9,12.3,12.4,17.6,14,RNTL 21,16,86
42896,2007,04,12,0.0,7.2,092,048,37.6,26.0,31.8,2.6,4.6,5.4,5.2,8.4,9.2,3.8,5.4,6.2,11.8,14.0,14.9,15,RNTL 21,16,86
42896,2007,04,19,0.0,11.1,086,044,38.6,26.4,32.5,1.5,3.0,6.7,11.0,11.7,11.7,3.8,3.2,7.6,7.6,9.0,14.3,16,RNTL 21,16,86
42896,2007,04,26,12.6,7.5,084,042,35.6,28.0,31.8,2.8,3.9,7.5,11.0,12.0,14.4,6.0,8.8,10.7,8.7,13.5,15.2,17,RNTL 21,16,86
42896,2007,05,03,0.0,10.2,090,048,37.0,27.0,32.0,3.6,5.5,9.1,8.9,12.7,14.9,5.5,9.2,11.1,11.4,15.3,20.2,18,RNTL 21,16,86
42896,2007,05,10,0.0,10.6,084,058,36.2,26.0,31.1,3.7,5.4,6.4,5.7,7.6,12.1,6.3,10.1,11.4,17.6,19.3,19.5,19,RNTL 21,16,86
42896,2007,05,17,0.0,4.6,092,046,36.0,26.4,31.2,7.3,8.4,9.9,10.3,15.6,16.7,9.0,14.9,17.2,16.9,19.3,22.7,20,RNTL 21,16,86
42896,2007,05,24,0.0,5.7,090,046,38.8,27.0,32.9,3.5,6.6,8.3,11.0,11.7,13.3,5.5,7.3,10.3,9.5,14.5,21.8,21,RNTL 21,16,86
42896,2007,05,31,0.0,6.2,081,046,37.6,26.4,32.0,3.2,6.3,6.7,9.2,11.1,11.4,5.2,9.2,9.3,12.7,14.8,15.8,22,RNTL 21,16,86
42896,2008,01,03,0.0,7.8,088,032,30.6,19.6,25.1,1.2,2.2,2.8,5.3,6.3,7.2,5.0,6.9,7.0,6.6,8.4,10.4,01,RNTL 21,16,86
42896,2008,01,10,0.0,8.2,092,038,30.2,12.8,21.5,1.6,2.8,3.8,4.9,5.9,8.9,6.2,4.7,6.8,7.3,9.7,12.5,02,RNTL 21,16,86
42896,2008,01,17,0.0,8.1,088,038,30.8,12.6,21.7,3.7,3.5,3.9,5.0,5.7,7.1,7.0,6.2,10.5,8.0,11.3,10.3,03,RNTL 21,16,86
42896,2008,01,24,10.3,5.6,083,038,26.0,20.8,23.4,4.7,7.0,6.3,10.6,9.6,9.9,8.9,10.2,9.0,11.3,10.9,12.2,04,RNTL 21,16,86
42896,2008,01,31,0.0,4.2,078,042,26.4,13.6,20.0,5.0,7.5,8.1,8.7,9.0,11.0,7.2,8.1,10.2,8.8,11.7,11.8,05,RNTL 21,16,86
42896,2008,02,07,0.0,8.3,084,068,27.9,13.8,20.9,1.9,3.6,3.5,5.2,5.8,7.2,2.4,5.7,5.9,7.2,8.9,12.1,06,RNTL 21,16,86
42896,2008,02,14,0.0,6.2,084,062,30.4,13.8,22.1,2.1,3.0,3.9,4.4,6.9,9.1,3.1,7.7,8.9,9.2,8.2,10.6,07,RNTL 21,16,86
42896,2008,02,21,8.4,5.3,091,063,31.0,14.7,22.9,2.8,3.1,4.2,5.1,4.9,6.8,3.4,5.3,5.8,8.1,10.8,11.6,08,RNTL 21,16,86
42896,2008,02,28,0.0,9.2,089,068,32.4,15.4,23.9,1.5,3.8,3.6,4.8,7.0,8.2,5.1,6.5,8.0,7.9,9.2,7.4,09,RNTL 21,16,86
42896,2008,03,07,0.0,8.4,086,064,35.0,20.6,27.8,1.8,2.5,3.9,4.8,6.9,10.3,3.5,5.7,7.1,8.6,9.2,9.8,10,RNTL 21,16,86
42896,2008,03,14,0.0,089,068,34.4,23.2,28.8,2.8,3.8,4.9,4.5,7.8,10.0,4.1,5.9,7.4,7.9,10.0,10.9,11,RNTL,21 16,86,10
42896,2008,03,21,14.4,089,058,31.8,23.0,27.4,1.2,3.4,3.9,4.5,6.3,7.2,4.7,5.1,6.0,8.3,9.4,10.2,12,RNTL,21 16,86,10
42896,2008,03,28,0.0,086,054,32.6,23.4,28.0,3.1,5.1,7.7,6.1,9.8,10.9,4.7,6.3,7.2,8.2,10.8,9.8,13,RNTL,21 16,86,10
42896,2009,02,05,0.0,091,092,30.0,22.3,26.2,1.5,2.3,2.9,4.1,5.6,8.6,2.2,2.5,4.3,4.8,5.5,8.1,06,21,05 86,30,BARE
42896,2009,02,12,0.0,094,032,33.0,20.6,26.8,2.1,3.0,4.0,5.7,6.7,8.6,4.4,5.2,8.5,8.2,11.2,18.2,07,21,05 86,30,BARE
42896,2009,02,19,0.0,091,044,33.0,18.8,25.9,1.2,2.5,2.6,3.7,5.0,5.3,4.1,4.9,12.5,14.0,15.1,18.1,08,21,05 86,30,GREEN
42896,2009,02,26,0.0,092,032,37.6,22.2,29.9,1.5,2.1,2.9,3.8,4.4,6.5,2.8,2.9,4.5,6.1,11.4,12.2,09,21,05 86,30,GREEN
42896,2009,03,05,0.0,086,030,38.4,20.6,29.5,1.3,2.2,6.6,6.3,5.8,6.1,2.5,5.9,6.7,7.3,9.0,13.1,10,21,05 86,30,GREEN
42896,2009,03,12,0.0,086,036,32.8,19.6,26.2,1.2,2.2,1.9,3.4,4.7,5.5,2.9,4.7,5.9,8.2,10.3,11.4,11,21,05 86,30,GREEN
42896,2009,03,19,0.0,092,036,35.4,23.6,29.5,1.2,3.1,1.9,3.7,3.9,5.4,4.4,6.1,7.1,8.7,8.8,11.2,12,21,05 86,30,GREEN
42896,2009,03,26,0.0,094,036,35.0,24.6,29.8,1.6,2.1,3.2,2.7,5.0,5.6,4.2,4.7,6.7,9.0,11.7,12.9,13,21,05 86,30,GREEN
42896,2009,04,02,0.0,087,029,32.0,24.0,28.0,1.2,2.1,2.5,3.9,5.0,6.1,4.2,5.5,5.7,7.8,12.5,15.8,14,21,05 86,30,GREEN
42896,2009,04,09,0.0,084,030,35.0,23.6,29.3,1.5,2.5,4.2,4.4,5.7,6.5,2.8,4.1,6.4,9.9,10.8,12.6,15,21,05 86,30,GREEN
42896,2009,04,16,0.0,072,029,34.6,24.8,29.7,1.5,2.5,4.6,6.5,8.9,8.7,2.2,3.4,6.0,9.0,10.2,9.9,16,21,05 86,30,GREEN
