Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42666,2000,01,06,0.0,3.3,3.9,9.9,089,031,22.8,5.0,13.8,10.9,28.5,22.3,22.1,23.7,24.4,34.1,33.8,31.1,32.5,31.7,31.9 01,BHP,23
42666,2000,01,13,0.0,3.7,5.2,9.4,063,038,22.8,5.0,13.9,4.5,12.4,12.3,14.3,13.0,16.4,12.3,23.9,21.4,21.2,20.7,22.5 02,BHP,23
42666,2000,01,20,0.0,3.5,6.9,10.1,089,027,28.0,7.9,17.9,11.8,23.5,24.1,20.4,22.1,23.2,7.2,20.0,19.4,18.7,18.9,19.1 03,BHP,23
42666,2000,01,27,0.0,3.4,7.7,10.0,056,033,28.8,11.4,20.1,9.0,29.0,27.2,30.0,29.4,27.7,30.9,32.5,33.0,32.2,31.0,31.1 04,BHP,23
42666,2000,02,03,0.0,3.3,6.7,9.6,088,039,26.5,8.4,17.5,6.3,20.1,20.6,18.9,19.9,18.4,12.1,21.5,23.1,19.0,20.9,21.0 05,BHP,23
42666,2000,02,10,0.0,3.2,6.5,10.2,087,041,23.4,5.6,14.4,10.5,28.1,27.3,25.0,26.7,24.5,12.3,26.6,22.7,25.0,24.4,24.3 06,BHP,23
42666,2000,02,17,0.0,3.6,10.1,082,038,27.2,4.7,16.0,5.8,22.7,18.9,20.8,22.0,21.3,33.1,29.7,23.5,24.7,23.0,24.8,07 BHP,23,16
42666,2000,02,24,0.8,1.4,2.2,0.2,073,022,24.8,8.0,16.4,13.2,25.1,26.0,25.8,26.1,26.2,17.3,25.6,24.5,24.5,24.4,24.6 08,BHP,23
42666,2000,03,02,0.0,9.4,12.1,10.2,037,034,33.4,19.0,26.2,7.2,21.1,20.3,20.3,20.1,19.3,8.5,26.2,18.9,20.8,18.5,19.4 09,BHP,23
42666,2000,03,09,0.0,4.8,5.9,10.0,068,023,30.0,9.0,19.5,9.1,23.7,22.4,26.3,26.6,23.9,11.6,25.7,21.0,21.7,23.6,23.5 10,BHP,23
42666,2000,03,16,0.0,5.4,0.9,10.8,064,027,29.8,9.0,19.4,5.1,19.0,17.9,20.1,19.3,17.6,5.9,18.6,15.6,16.2,16.9,17.0 11,BHP,23
42666,2000,03,23,0.0,6.6,1.1,10.0,051,016,35.0,13.6,24.3,3.6,17.8,15.1,17.2,18.5,18.2,3.9,13.3,13.4,14.1,12.0,12.2 12,BHP,23
42666,2000,03,30,0.0,7.7,1.4,11.0,060,015,36.3,13.4,24.9,3.9,22.2,17.5,18.6,18.4,19.7,4.5,17.0,17.4,17.9,18.3,17.1 13,BHP,23
42666,2000,07,13,32.8,2.2,1.7,1.6,097,070,31.7,24.4,28.0,29.0,25.0,22.8,25.7,26.4,27.3,40.2,27.6,26.4,26.7,25.3,25.1 28,BHP,23
42666,2000,07,27,0.0,4.3,3.6,0.8,090,070,28.9,23.4,26.1,20.8,28.8,20.7,22.9,14.8,22.2,4.5,18.0,20.0,13.9,18.3,23.6 30,BHP,23
42666,2000,08,03,0.0,5.0,9.0,087,063,30.4,22.6,26.5,18.0,22.8,26.3,22.3,19.5,19.4,14.0,24.9,22.2,24.0,25.3,24.8,31 BHP,23,16
42666,2000,08,10,3.0,1.8,3.4,0.3,084,088,27.8,23.4,25.6,3.4,15.9,13.4,18.2,19.9,17.5,3.6,16.9,16.2,17.5,15.9,16.1 32,BHP,23
42666,2000,08,17,0.0,3.4,6.3,1.3,092,070,28.4,22.8,25.6,14.2,26.6,25.6,24.9,25.9,29.1,19.0,25.2,26.2,26.7,26.3,26.0 33,BHP,23
42666,2000,08,24,42.0,3.1,7.4,5.7,097,071,31.8,22.8,27.3,27.9,27.5,26.8,28.8,26.6,27.3,33.1,30.9,29.3,27.2,26.3,29.6 34,BHP,23
42666,2000,08,31,0.2,3.6,4.0,092,071,28.5,22.5,25.5,26.6,26.6,25.1,23.6,24.9,29.7,24.2,30.9,29.3,27.2,26.3,29.6,35 BHP,23,16
