Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42376,2008,06,12,2.0,6.4,091,049,40.0,22.2,31.1,16.3,14.6,13.1,14.3,17.7,16.5,14.9,15.5,15.1,24,BST,26,48,82 46,MANGO,DESHHARI
42376,2008,06,19,7.0,5.4,090,054,37.0,23.6,30.3,19.5,17.2,15.5,15.3,14.1,20.3,18.7,16.2,16.1,15.4,25,BST,26,48 82,46,MANGO
42376,2014,02,27,0.0,091,068,21.6,11.2,16.4,15.2,16.9,17.1,17.3,18.3,18.3,18.5,18.9,19.4,09,BST,26,48,82,46 G,MANGO,DESHHARI
42376,2014,03,06,0.0,089,066,23.2,10.8,17.0,14.0,16.1,16.9,17.1,17.3,17.9,18.1,18.5,19.1,10,BST,26,48,82,46 G,MANGO,DESHHARI
42376,2014,03,13,0.0,090,063,28.2,12.6,20.4,12.1,14.7,15.8,16.9,15.7,16.6,17.3,18.1,18.9,11,BST,26,48,82,46 G,MANGO,DESHHARI
42376,2014,03,20,0.0,081,052,31.6,12.4,22.0,10.7,13.6,15.1,16.5,13.8,15.5,16.7,17.7,18.5,12,BST,26,48,82,46 G,MANGO,DESHHARI
42376,2014,03,26,0.0,078,047,32.2,14.0,23.1,9.7,12.9,14.5,16.3,12.9,14.7,16.3,17.5,13,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,04,03,0.0,078,044,34.0,15.8,24.9,8.5,11.7,13.9,15.9,11.8,13.7,15.7,17.1,14,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,04,10,0.0,080,047,37.6,15.2,26.4,7.7,10.8,13.5,15.6,10.9,13.1,15.2,16.7,15,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,04,17,0.0,081,046,38.0,14.2,26.1,6.7,10.1,13.1,15.1,9.6,12.5,14.7,16.3,16,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,05,01,0.0,075,036,40.0,21.8,30.9,5.4,8.9,12.9,14.3,12.3,13.8,14.7,16.1,18,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,05,08,0.0,078,044,41.0,24.0,32.5,8.7,9.1,12.8,14.1,12.7,13.5,14.7,15.8,19,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,05,15,0.0,065,035,42.0,24.0,33.0,6.5,8.2,12.3,13.7,10.9,12.1,13.9,15.3,20,BST,26,48,82,46,G MANGO,DESHHARI,010114
42376,2014,05,22,0.0,073,031,41.0,25.4,33.2,4.7,7.1,11.9,8.3,10.7,13.3,14.9,21,BST,26,48,82,46,G,MANGO DESHHARI,010114,050614
42376,2014,05,29,0.0,080,058,39.6,24.8,32.2,10.5,12.7,12.1,12.5,13.0,13.3,14.7,22,BST,26,48,82,46,G,MANGO DESHHARI,010114,050614
42376,2014,06,05,0.0,082,041,43.0,27.2,35.1,8.1,11.5,11.9,10.9,12.3,13.1,14.3,23,BST,26,48,82,46,G,MANGO DESHHARI,010114,050614
42376,2014,06,12,0.0,078,041,41.0,24.0,32.5,5.7,8.9,11.5,8.9,17.1,12.8,14.1,24,BST,26,48,82,46,G,BARE SOIL,060614,311214
42376,2014,06,19,4.0,093,076,36.0,25.0,30.5,13.5,11.9,11.7,13.7,12.8,12.7,13.9,25,BST,26,48,82,46,G,BARE SOIL,060614,311214
42376,2014,06,26,0.0,088,046,39.8,25.6,32.7,12.3,13.8,12.7,13.5,14.3,13.4,13.7,26,BST,26,48,82,46,G,BARE SOIL,060614,311214
42376,2017,02,16,0.0,093,061,26.4,11.6,19.0,13.1,14.3,16.1,17.7,15.3,15.1,17.5,18.6,07,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,02,23,0.0,073,050,30.3,13.0,21.7,10.7,13.5,15.6,17.1,14.1,14.7,16.9,18.1,08,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,03,02,0.0,091,044,33.2,16.0,24.6,9.5,12.5,15.1,16.7,12.6,14.0,16.5,17.8,09,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,03,09,0.0,089,035,32.6,14.0,23.3,8.5,12.1,14.7,16.5,11.5,13.1,11.6,17.9,10,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,03,16,0.0,083,034,30.2,13.0,21.6,11.4,12.1,14.1,16.3,13.7,13.8,15.7,17.5,11,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,03,23,0.0,089,058,36.2,14.0,25.1,10.1,11.9,13.7,15.9,12.9,13.7,15.7,17.1,12,BST,26,81,82,76,G BARE,SOIL,010117
42376,2017,03,30,0.0,093,052,35.4,21.0,28.2,9.3,11.6,13.5,15.5,11.9,13.5,15.1,16.9,13,BST,26,81,82,76,G BARE,SOIL,010117
