Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43204,2000,01,03,0.0,4.6,0.4,9.8,088,042,28.4,14.4,21.4,6.4,11.0,19.9,21.8,22.5,25.4,01,BLY,15,09,76,51 BENGALGRAM,ICCC-37,111099
43204,2000,01,06,0.0,3.8,0.2,9.0,088,043,28.3,14.9,21.6,6.6,11.8,21.6,23.4,20.3,24.5,6.9,10.6,14.7,16.1,15.5,17.2 01,BLY,15
43204,2000,01,10,0.0,5.2,0.3,10.2,081,031,31.0,16.4,23.7,5.9,15.1,20.5,21.1,21.5,23.2,02,BLY,15,09,76,51 BENGALGRAM,ICCC-37,111099
43204,2000,01,13,0.0,6.4,0.3,9.6,069,025,32.5,18.7,25.6,6.1,8.8,18.3,21.7,21.2,21.9,7.3,11.5,15.0,16.5,16.1,17.2 02,BLY,15
43204,2000,10,19,2.0,3.4,0.7,0.2,074,054,28.3,22.8,25.5,22.4,26.2,27.2,27.7,29.3,29.0,25.2,24.8,26.4,30.1,31.5,31.3 42,BLY,15
43204,2000,10,23,10.0,2.7,9.1,5.0,096,078,28.1,21.0,24.5,28.5,29.6,29.4,29.9,28.8,27.8,43,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,10,26,0.0,5.4,2.0,10.5,089,036,32.6,19.7,26.1,9.8,23.1,25.5,26.7,31.0,29.5,7.8,26.5,26.8,26.7,28.3,29.4 43,BLY,15
43204,2000,10,30,0.0,4.8,1.9,10.1,083,023,32.0,16.4,24.2,8.0,21.8,23.9,27.3,27.7,25.3,44,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,11,02,0.0,3.8,1.9,3.0,084,051,30.2,20.7,25.5,5.1,15.9,23.2,25.2,26.8,28.9,5.3,24.7,24.7,24.8,24.7,25.0 44,BLY,15
43204,2000,11,06,0.0,5.5,2.7,9.6,091,045,32.3,20.9,26.6,7.0,19.4,23.9,27.1,27.5,28.5,45,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,11,09,0.0,5.5,3.1,8.3,086,032,30.6,18.5,24.5,5.1,12.8,20.4,23.2,25.0,26.0,8.1,20.6,25.5,26.4,27.2,27.8 45,BLY,15
43204,2000,11,13,0.0,4.6,4.0,9.3,082,033,30.3,17.1,23.7,5.4,12.3,18.3,21.1,24.3,26.5,46,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,11,16,0.0,4.7,4.9,9.9,084,039,30.2,17.4,23.8,6.6,14.3,23.6,28.2,29.0,31.3,7.9,19.5,25.7,26.1,27.5,28.6 46,BLY,15
43204,2000,11,20,0.0,2.6,3.7,6.3,084,050,28.6,17.5,23.1,7.9,16.1,23.1,25.7,26.4,29.1,47,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,11,23,0.0,3.8,3.3,10.1,085,048,31.4,20.8,26.1,5.4,10.2,18.8,20.6,23.5,26.9,7.0,14.8,20.6,22.8,20.9,25.5 47,BLY,15
43204,2000,11,27,0.0,4.2,3.1,10.4,082,038,31.8,16.7,24.3,3.7,7.6,17.9,20.5,22.1,23.1,48,BLY,15,09,76,51 BENGALGRAM,ICCC-37,191000
43204,2000,11,30,0.0,4.3,1.3,7.8,078,049,30.7,19.6,25.1,7.1,10.0,17.9,23.7,27.5,27.4,7.5,11.3,17.1,20.3,20.9,24.1 48,BLY,15
