Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42968,2000,08,03,0.0,3.6,5.8,2.1,094,081,31.6,26.4,29.0,9.7,9.3,8.7,9.2,9.7,9.7,4.0,7.1,7.6,8.7,9.4,9.3 31,BWN,20
42968,2000,08,24,2.0,3.2,2.5,8.7,092,075,32.6,24.8,28.7,10.5,8.9,8.9,11.9,11.9,11.3,10.5,7.7,7.6,9.0,9.0,8.7 34,BWN,20
42968,2000,09,07,3.3,3.7,3.6,5.2,093,068,32.5,24.9,28.7,4.4,4.4,6.7,8.1,8.5,8.7,36,BWN,20,15,85,52 GROUNDNUT,ICGS-11,250700
42968,2000,09,14,18.2,3.0,2.4,0.0,089,072,32.0,23.6,27.8,11.0,10.3,10.3,9.2,9.1,9.5,11.9,10.2,9.4,7.9,7.7,7.3 37,BWN,20
42968,2000,09,28,0.0,4.2,9.1,098,063,33.8,24.8,29.3,2.5,3.4,5.3,6.6,8.7,12.2,1.9,2.6,4.5,6.9,8.1,10.9,39 BWN,20,15
42968,2000,10,12,6.6,3.8,6.2,095,085,34.6,23.8,29.2,6.8,6.3,6.9,6.2,7.1,8.9,4.9,4.7,5.4,6.3,6.7,7.0,41 BWN,20,15
42968,2000,10,19,0.0,3.4,6.0,096,068,32.0,23.8,27.9,9.1,8.2,7.8,8.7,9.3,9.9,7.5,6.9,7.5,8.0,8.3,7.9,42 BWN,20,15
42968,2000,10,26,0.0,4.0,9.2,095,040,34.0,21.6,27.8,2.4,3.4,4.6,5.9,6.8,7.8,1.6,3.1,3.5,4.7,5.1,5.2,43 BWN,20,15
42968,2004,07,15,0.0,4.3,1.6,5.5,093,086,33.5,25.3,29.4,10.5,10.7,10.7,11.1,11.8,12.7,28,BWN,20,15,85,52 GROUNDNUT,TMV2,120704
42968,2004,08,12,1.0,3.3,1.2,0.7,095,076,30.0,25.2,27.6,12.2,10.7,10.7,11.3,11.8,12.9,8.1,8.2,9.7,10.3,10.3,10.0 32,BWN,20
42968,2004,08,26,0.0,4.3,2.1,8.6,094,067,33.8,26.8,30.3,9.3,9.7,10.9,12.3,13.8,13.8,7.6,7.9,9.0,9.9,8.6,10.1 34,BWN,20
42968,2004,09,02,6.9,3.5,1.8,7.0,092,064,35.0,26.5,30.7,10.4,9.6,10.0,10.1,10.8,11.6,8.5,7.6,7.3,8.3,9.3,8.5 35,BWN,20
42968,2004,09,09,0.0,3.9,2.2,9.4,086,069,34.0,27.0,30.5,4.7,6.9,8.4,9.5,10.6,12.2,5.4,5.3,7.4,8.2,8.5,8.6 36,BWN,20
42968,2004,09,16,0.0,3.9,2.3,5.6,087,064,31.0,24.6,27.8,10.3,9.2,9.1,9.8,10.5,12.1,5.7,7.3,7.1,9.1,9.6,9.7 37,BWN,20
