Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43265,2000,01,06,0.0,4.2,4.5,7.7,089,054,29.4,21.8,25.6,2.6,7.1,8.7,10.4,11.3,2.5,5.7,8.1,10.1,10.6,01,CMB 11,00,77
43265,2000,01,13,0.0,3.4,2.2,6.2,093,052,29.0,18.5,23.7,3.3,5.1,6.2,10.5,10.2,2.1,5.0,6.4,8.9,8.6,02,CMB 11,00,77
43265,2000,01,20,0.0,5.6,0.7,9.9,094,030,31.0,16.8,23.9,1.2,2.4,5.8,7.3,8.1,1.3,4.9,6.1,7.8,7.6,03,CMB 11,00,77
43265,2000,10,05,0.0,4.0,2.7,7.2,091,050,31.5,20.8,26.1,11.9,17.7,18.4,18.0,18.6,40,CMB,11,00,77,00,SORGHUM CO-26,031000,240101
43265,2000,10,12,0.0,6.0,4.3,8.7,084,054,31.5,21.4,26.5,8.7,10.5,15.1,16.1,15.4,41,CMB,11,00,77,00,SORGHUM CO-26,031000,240101
43265,2000,10,19,10.0,4.0,5.2,3.1,093,090,30.7,20.8,25.7,8.0,13.3,12.1,11.0,11.8,42,CMB,11,00,77,00,SORGHUM CO-26,031000,240101
43265,2000,10,25,0.0,3.2,4.4,7.5,095,034,32.0,18.4,25.2,3.3,8.4,8.9,9.4,8.9,43,CMB,11,00,77,00,SORGHUM CO-26,031000,240101
43265,2000,11,02,0.0,2.8,3.3,2.5,085,058,28.5,18.2,23.3,4.3,5.4,7.3,8.2,8.2,2.7,7.7,8.2,8.9,8.8,44,CMB 11,00,77
43265,2000,11,09,0.0,4.6,3.3,6.5,089,054,30.5,21.0,25.7,3.4,5.3,7.1,7.7,7.7,2.4,5.5,6.3,7.7,7.8,45,CMB 11,00,77
43265,2000,11,16,1.2,5.2,4.3,7.3,089,043,30.4,21.5,25.9,4.5,4.1,5.2,7.1,7.3,4.1,4.6,5.4,7.3,7.3,46,CMB 11,00,77
43265,2000,11,23,12.5,3.5,2.3,4.4,093,063,29.0,22.5,25.7,21.9,20.6,18.4,13.2,14.4,21.9,20.4,19.4,14.5,15.4,47,CMB 11,00,77
43265,2000,12,07,0.0,3.6,4.1,5.8,087,038,28.5,16.5,22.5,8.5,15.3,15.7,14.4,14.7,8.6,15.3,15.7,14.3,14.8,49,CMB 11,00,77
43265,2000,12,14,0.0,5.4,2.4,10.7,093,031,29.0,13.0,21.0,7.3,11.8,12.1,10.8,10.7,7.3,10.2,11.6,10.7,10.7,50,CMB 11,00,77
43265,2000,12,21,0.0,5.6,1.9,9.9,093,035,28.5,17.6,23.1,3.7,8.3,9.6,9.6,9.8,3.7,8.2,9.5,9.5,9.9,51,CMB 11,00,77
43265,2000,12,29,4.2,2.3,1.0,0.0,091,094,21.5,20.5,21.0,19.3,15.6,15.7,13.7,13.5,19.7,16.5,17.5,13.0,13.5,52,CMB 11,00,77
43265,2001,01,04,0.0,5.8,2.1,9.3,089,048,30.5,19.5,25.0,5.1,9.2,9.8,9.9,12.6,5.1,9.2,9.9,10.8,12.3,01,CMB 11,00,77
43265,2001,01,11,0.0,3.4,0.7,9.2,090,048,31.0,19.8,25.4,2.5,4.4,9.3,9.4,10.7,2.6,4.4,9.3,9.5,11.2,02,CMB 11,00,77
43265,2001,01,18,0.0,4.4,0.4,7.3,092,043,28.0,18.5,23.3,2.3,3.5,8.0,7.2,9.0,2.4,3.8,8.1,7.9,9.3,03,CMB 11,00,77
43265,2001,09,20,0.0,3.4,1.9,1.8,090,053,33.0,23.8,28.4,3.8,11.1,9.9,9.1,9.3,38,CMB,11,00,77,00,SORGHUM COS-28,140901,040102
43265,2001,09,27,2.5,4.5,1.1,2.2,094,074,28.5,22.5,25.5,15.8,13.4,14.7,10.2,10.9,39,CMB,11,00,77,00,SORGHUM COS-28,140901,040102
43265,2001,10,11,0.0,3.0,1.5,1.8,086,060,30.6,23.0,26.8,2.8,4.3,6.3,7.5,8.1,41,CMB,11,00,77,00,SORGHUM COS-28,140901,040102
43265,2001,10,18,0.0,5.0,3.1,5.7,095,061,31.5,20.5,26.0,5.0,9.7,7.3,7.5,8.1,42,CMB,11,00,77,00,SORGHUM COS-28,140901,040102
43265,2001,10,24,0.0,2.8,4.0,0.0,089,066,28.0,21.0,24.5,9.5,12.1,11.1,11.1,10.0,43,CMB,11,00,77,00,SORGHUM COS-28,140901,040102
43265,2001,11,01,15.6,4.0,6.0,7.2,093,061,30.5,22.0,26.3,22.4,19.3,19.3,16.2,14.7,20.3,19.2,17.4,13.9,11.1,44,CMB 11,00,77
43265,2001,11,08,17.0,4.2,6.2,4.5,089,078,29.0,21.2,25.1,18.7,18.7,18.9,18.6,17.3,18.5,16.2,16.8,16.8,16.8,45,CMB 11,00,77
43265,2001,11,15,16.5,1.8,5.9,4.2,095,090,26.4,22.5,24.5,18.5,17.3,15.8,17.9,18.7,17.9,18.9,15.6,16.2,16.3,46,CMB 11,00,77
43265,2001,11,22,0.0,4.6,4.4,3.0,092,057,29.0,22.0,25.5,14.9,14.1,14.7,14.3,14.0,10.2,12.8,12.7,11.1,11.8,47,CMB 11,00,77
43265,2001,11,29,7.5,2.7,3.4,3.6,091,054,29.0,20.2,24.6,16.8,14.9,14.7,14.1,11.9,17.1,16.6,15.3,10.1,9.4,48,CMB 11,00,77
43265,2001,12,06,0.0,5.0,2.7,7.3,094,062,29.0,19.5,24.3,7.4,9.2,9.1,8.3,8.4,7.7,8.0,8.3,8.4,8.3,49,CMB 11,00,77
43265,2001,12,13,0.0,5.0,4.4,9.9,093,041,28.5,14.5,21.5,4.3,6.5,7.9,7.1,6.9,5.1,5.3,5.5,5.9,5.5,50,CMB 11,00,77
43265,2001,12,20,0.0,2.8,3.2,2.5,089,063,28.5,19.5,24.0,3.5,5.9,7.6,6.8,6.3,4.2,4.6,4.7,4.9,4.9,51,CMB 11,00,77
43265,2001,12,27,0.0,3.0,3.1,8.4,094,056,29.5,21.5,25.5,7.2,13.3,12.2,12.8,12.7,8.9,11.9,11.7,10.4,10.4,52,CMB 11,00,77
43265,2002,01,03,0.0,4.0,1.5,4.5,088,058,28.0,20.5,24.3,2.9,7.7,12.5,13.3,12.8,09,2.7,7.3,9.6,10.0,10.1,01 CMB,11,00
43265,2002,11,07,7.5,2.5,2.4,2.3,091,066,29.0,22.0,25.5,15.5,16.0,17.2,18.6,19.2,16.3,16.9,16.9,18.3,18.0,45,CMB 11,00,77
43265,2002,11,14,13.0,2.0,5.2,6.8,091,061,30.6,21.5,26.1,19.5,20.5,20.7,18.3,18.7,19.3,19.9,20.5,18.0,18.2,46,CMB 11,00,77
43265,2002,11,21,0.0,3.4,1.7,2.1,091,066,28.0,22.0,25.0,9.3,12.2,14.0,14.2,14.1,8.1,13.7,14.1,14.1,14.8,47,CMB 11,00,77
43265,2002,11,28,0.0,3.8,4.5,8.2,094,051,31.0,18.5,24.7,5.4,9.0,10.2,11.4,12.5,4.1,9.0,10.2,10.7,12.1,48,CMB 11,00,77
43265,2002,12,05,0.0,3.6,2.9,6.6,086,052,30.5,19.0,24.7,4.3,8.9,10.0,10.7,11.6,3.3,8.3,9.6,10.4,11.7,49,CMB 11,00,77
