Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42537,2001,01,04,0.0,4.0,3.8,8.6,081,027,25.5,8.9,17.2,0.0,0.0,0.6,1.3,1.2,3.8,5.4,6.5,01,DNT,24,19 72,19,WHEAT
42537,2001,01,11,0.0,3.2,2.7,8.7,054,024,26.0,7.0,16.5,0.0,0.0,0.6,1.3,1.2,3.8,7.6,8.7,02,11,DNT,24 19,72,19
42537,2001,01,18,0.0,4.3,3.2,8.7,065,026,30.6,9.6,20.1,0.0,0.0,0.6,1.3,0.6,2.4,4.0,5.1,03,DNT,24,19 72,19,WHEAT
42537,2001,01,25,0.0,5.4,5.0,9.0,057,018,26.6,5.2,15.9,0.0,0.0,0.6,1.3,1.2,5.1,6.1,6.2,04,25,DNT,24 19,72,19
42537,2001,02,01,0.0,7.6,5.0,7.3,036,020,27.1,13.5,20.3,0.0,0.0,0.6,1.3,05,01,DNT,24,19,72,19,WHEAT GW-496,181100,310301
42537,2001,02,08,0.0,4.7,4.1,9.2,073,019,29.3,8.5,18.9,0.0,0.0,0.0,0.6,06,08,DNT,24,19,72,19,WHEAT GW-496,181100,310301
42537,2001,02,15,0.0,5.7,2.3,9.4,069,024,26.7,10.2,18.4,0.0,0.0,0.6,1.3,0.6,3.8,6.8,8.0,07,15,DNT,24 19,72,19
42537,2001,02,22,0.0,5.6,2.1,9.7,063,012,33.1,11.2,22.1,0.0,0.0,0.0,0.6,0.6,2.4,3.3,3.8,08,DNT,24,19 72,19,WHEAT
42537,2001,03,01,0.0,7.9,2.3,10.1,016,007,33.0,13.2,23.1,0.0,0.0,0.6,1.3,1.2,2.4,5.4,7.9,09,01,DNT,24 19,72,19
42537,2001,03,08,0.0,7.5,2.2,9.7,058,007,34.0,11.2,22.6,0.0,0.0,0.6,1.3,0.6,3.1,4.7,7.2,10,DNT,24,19 72,19,WHEAT
42537,2001,03,15,0.0,7.6,1.5,10.3,074,021,35.5,18.9,27.2,0.0,0.0,0.0,0.6,0.6,2.4,4.0,6.5,11,DNT,24,19 72,19,WHEAT
42537,2001,03,22,0.0,8.2,0.9,9.0,054,018,35.4,19.2,27.3,0.0,0.0,0.0,0.6,0.6,1.8,3.3,5.1,12,DNT,24,19 72,19,WHEAT
42537,2001,03,29,0.0,11.6,0.9,10.6,086,025,32.8,18.0,25.4,0.0,0.0,0.0,0.6,0.6,1.2,2.6,3.8,13,DNT,24,19 72,19,WHEAT
42537,2001,04,05,0.0,12.0,0.6,10.5,046,018,40.8,22.0,31.4,0.0,0.0,0.6,1.3,0.6,1.2,2.6,3.8,14,DNT,24,19 72,19,BARE
42537,2001,04,12,0.0,11.4,0.6,9.7,087,020,39.0,19.8,29.4,0.0,0.0,0.6,1.3,0.6,1.2,2.6,3.8,15,DNT,24,19 72,19,BARE
42537,2001,04,19,0.0,10.0,0.6,10.0,072,023,37.0,24.6,30.8,0.0,0.0,0.6,1.3,0.0,1.6,3.0,4.2,16,DNT,24,19 72,19,BARE
42537,2001,04,26,0.0,13.1,0.6,11.4,065,018,40.5,22.5,31.5,0.0,0.0,0.0,0.6,0.0,0.6,1.3,2.5,17,DNT,24,19 72,19,BARE
