Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42338,2001,08,10,8.0,5.1,8.8,9.1,095,066,34.5,24.3,29.4,15.6,14.9,13.3,11.7,14.1,12.0,9.1,7.9,32,JDP,26,18 73,01,COWPEA-CHARURI-1
42338,2001,08,18,0.0,4.2,7.9,6.7,093,069,32.0,24.2,28.1,14.7,14.0,12.1,8.8,15.9,11.6,9.4,8.3,33,JDP,26,18 73,01,COWPEA-CHARURI-1
42338,2001,08,28,0.0,7.2,8.0,10.6,083,051,34.0,23.9,28.9,11.5,11.6,11.0,8.0,11.1,8.9,5.9,4.5,35,JDP,26,18 73,01,COWPEA-CHARURI-1
42338,2001,12,18,0.0,3.7,1.5,8.7,072,026,28.0,15.0,21.5,4.4,5.9,5.7,4.2,4.6,5.9,9.3,8.9,8.9,8.7,8.7,8.7 51,JDP,26
42338,2001,12,28,0.0,3.8,1.3,9.2,051,015,27.0,12.0,19.5,5.6,7.5,6.8,5.2,4.8,6.2,7.0,7.5,7.8,8.2,7.9,7.8 52,JDP,26
42338,2003,02,14,0.0,4.0,7.5,10.1,045,011,30.0,10.4,20.2,6.8,6.4,5.9,5.7,4.9,4.1,07,JDP,26,18,73,01 MUSTARD,BIO,902
42338,2003,02,21,0.0,4.8,5.5,9.5,057,019,24.2,13.2,18.7,9.6,6.5,5.7,5.5,4.9,4.0,08,JDP,26,18,73,01 MUSTARD,BIO,902
42338,2003,02,28,0.0,6.9,1.0,10.2,070,026,34.5,21.2,27.9,7.4,6.3,5.6,5.4,4.6,3.8,09,JDP,26,18,73,01 MUSTARD,BIO,902
42338,2003,07,14,8.2,6.0,5.7,9.1,090,055,35.7,24.7,30.2,11.1,9.2,5.2,15.5,10.2,15.7,13.7,11.9,11.5,11.9,12.3,28 JDP,26,18
42338,2003,07,28,5.8,3.0,4.7,1.1,091,099,34.0,25.9,29.9,9.3,7.0,8.1,10.6,11.1,11.2,12.9,11.8,10.8,10.1,10.4,11.1 30,JDP,26
42338,2003,08,13,0.0,6.2,6.1,8.8,089,062,34.8,26.2,30.5,9.3,9.7,8.7,8.4,8.5,9.1,5.3,9.0,14.8,13.9,10.1,9.5 33,JDP,26
42338,2006,01,07,0.0,4.3,4.8,9.3,042,013,21.2,8.5,14.9,4.5,6.5,7.7,7.1,7.2,7.1,8.3,8.8,6.3,5.7,5.9,6.5 01,JDP,26
42338,2006,01,14,0.0,3.0,4.7,9.1,043,019,28.6,10.4,19.5,4.2,6.4,6.9,6.9,6.9,6.2,14.5,12.9,9.3,8.5,6.7,6.1 02,JDP,26
42338,2006,01,20,0.0,3.6,2.9,5.1,071,026,27.0,11.2,19.1,4.6,6.9,8.2,7.8,7.1,6.9,9.5,10.1,7.5,7.4,7.3,7.1 03,JDP,26
42338,2006,01,28,0.0,3.2,6.0,9.4,044,015,29.4,9.2,19.3,4.7,6.5,8.0,7.9,7.9,7.3,8.6,7.9,5.7,5.7,5.7,5.9 04,JDP,26
42338,2006,02,04,0.0,4.3,5.8,9.1,035,014,31.5,13.7,22.6,2.4,5.6,7.6,7.2,7.3,7.0,7.9,7.9,5.3,5.3,5.7,6.0 05,JDP,26
42338,2006,02,15,0.0,5.6,8.3,7.4,057,013,32.4,14.8,23.6,4.3,5.5,7.2,7.7,7.8,7.3,10.8,11.2,8.9,8.8,7.7,7.5 07,JDP,26
42338,2006,08,28,0.0,4.1,1.1,1.5,085,068,28.7,23.5,26.1,13.7,14.0,14.0,13.8,12.8,12.8,11.0,11.6,13.9,12.3,9.8,10.3 35,JDP,26
42338,2006,09,04,0.0,5.2,4.2,9.9,085,056,32.3,23.8,28.1,10.8,10.4,12.2,12.3,12.2,11.8,12.5,11.8,14.2,12.1,9.9,9.9 36,JDP,26
42338,2006,09,11,0.0,5.9,1.7,7.7,088,055,32.7,23.7,28.2,8.6,6.7,10.0,9.6,10.0,10.2,9.4,9.8,12.7,10.5,6.9,7.1 37,JDP,26
42338,2006,09,18,0.0,7.0,1.7,10.1,082,027,38.7,26.5,32.6,5.3,6.3,7.3,8.1,9.2,9.1,9.1,10.9,14.2,10.5,7.4,7.3 38,JDP,26
42338,2006,10,04,0.0,7.0,5.3,9.7,053,018,40.0,22.1,31.1,3.8,3.5,5.8,5.7,5.6,5.6,9.5,12.1,12.8,9.9,7.7,7.0 40,JDP,26
42338,2006,10,18,0.0,8.1,5.1,9.7,062,021,38.5,22.7,30.6,1.4,4.7,5.2,4.6,5.0,4.4,10.1,14.4,13.9,11.1,7.5,6.4 42,JDP,26
42338,2006,10,31,0.0,5.6,3.6,9.1,067,020,35.2,19.7,27.5,0.1,4.2,4.1,4.7,3.5,3.1,12.5,14.2,13.5,10.6,9.9,7.6 44,JDP,26
