Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42421,2000,09,11,22.8,1.8,3.9,093,074,33.3,24.1,28.7,24.8,23.7,21.1,25.0,26.2,26.9,37,JRT,26,47,94,12,MUNG SG-1,090900,151200
42421,2000,09,18,1.6,0.6,2.2,096,084,26.5,20.5,23.5,26.2,23.9,21.7,20.2,26.4,26.0,38,JRT,26,47,94,12,MUNG SG-1,090900,151200
42421,2000,10,02,0.0,1.4,2.4,0.0,096,083,28.1,21.6,24.9,23.8,20.7,21.6,21.5,22.9,24.0,40,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,10,09,0.0,1.7,2.3,1.8,094,077,29.2,23.1,26.1,18.1,19.4,20.1,22.0,23.0,25.7,41,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,10,16,0.0,2.1,3.0,9.9,089,063,32.5,20.3,26.4,16.0,17.7,18.2,20.6,22.5,24.6,42,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,10,23,0.6,1.5,2.5,5.4,094,068,32.0,20.3,26.1,14.4,15.7,17.6,21.2,23.4,25.7,43,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,10,30,0.0,1.0,1.7,1.3,096,085,25.5,15.0,20.3,20.1,17.7,17.4,19.4,20.1,23.0,44,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,11,06,0.0,1.7,2.4,10.0,092,062,30.8,15.8,23.3,13.9,15.8,16.4,19.5,20.9,22.8,45,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,11,13,0.0,1.0,1.5,0.0,096,085,25.7,15.4,20.5,11.1,15.1,16.1,19.7,20.1,23.0,46,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,11,20,20.2,1.3,1.7,0.0,087,075,28.0,14.8,21.4,19.9,18.8,17.9,19.1,19.8,22.3,47,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,11,27,0.0,1.0,1.3,5.7,095,065,25.5,12.1,18.8,26.7,23.2,19.0,20.1,21.3,23.1,48,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,12,04,0.0,2.0,2.1,8.0,090,074,24.5,8.2,16.3,23.3,21.1,20.3,19.4,20.1,23.1,49,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2000,12,11,0.0,1.0,1.2,7.6,091,069,25.3,9.3,17.3,19.1,19.7,18.3,18.7,20.7,22.6,50,JRT,26,47,94,12 MUNG,SG-1,090900
42421,2001,04,09,0.0,3.5,1.3,4.1,088,063,32.3,18.5,25.4,9.6,9.8,11.7,13.2,16.2,17.9,15,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,04,16,10.0,2.6,3.0,3.0,087,062,31.0,19.5,25.3,18.0,17.4,14.0,16.1,17.9,18.4,16,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,04,30,7.4,3.4,2.8,1.7,092,074,25.4,17.6,21.5,17.9,18.2,16.2,17.4,18.9,20.7,18,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,05,07,0.0,2.0,5.1,1.1,088,072,30.2,20.1,25.1,10.8,12.2,15.0,17.1,18.0,20.0,19,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,05,14,0.0,3.8,8.9,11.5,087,062,34.5,20.6,27.5,17.4,18.7,15.8,18.0,19.2,21.7,20,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,05,21,0.0,2.0,5.1,2.7,090,072,32.0,21.5,26.7,13.0,13.5,16.7,18.2,19.0,20.8,21,JRT,26,47,94,12 MUNG,AAU,34
42421,2001,05,28,0.0,3.4,8.2,5.5,088,063,33.5,22.4,27.9,10.1,11.6,14.8,17.0,18.9,19.9,22,RT,26,47,94,12 MUNG,AAU,34
42421,2001,06,11,0.0,2.8,5.6,4.7,090,072,33.8,24.5,29.1,17.6,17.6,17.1,16.6,18.9,22.0,24,RT,26,47,94,12 MUNG,AAU,34
42421,2001,06,12,0.0,3.1,6.4,2.3,089,074,34.6,25.0,29.8,17.6,17.6,17.1,16.6,18.9,22.0,24,RT,26,47,94,12 MUNG,AAU,34
42421,2001,06,13,0.6,3.8,7.3,9.0,089,068,35.8,24.5,30.1,17.6,17.6,17.1,16.6,18.9,22.0,24,RT,26,47,94,12 MUNG,AAU,34
42421,2001,11,26,0.0,2.0,1.5,6.1,094,078,27.1,12.4,19.7,10.8,11.2,13.4,25.3,18.8,21.3,48,JRT,26,47,94,12 MUSTARD,DMR,1147
42421,2001,12,04,0.0,1.0,1.4,6.4,095,071,25.8,11.0,18.4,8.3,10.8,11.1,15.0,17.5,20.5,49,JRT,26,47,94,12 MUSTARD,DMR,1147
