Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42134,2000,01,05,0.0,0.6,3.0,100,076,14.8,6.8,10.8,1.0,3.1,4.0,4.0,5.4,6.9,13.6,14.6,14.6,14.9,16.2,17.5,01 KRL,29,43
42134,2000,01,12,4.0,0.6,3.9,086,052,22.6,14.2,18.4,13.7,4.2,5.1,4.7,4.6,6.1,31.3,27.3,25.7,19.1,19.8,19.8,02 KRL,29,43
42134,2000,01,19,0.0,1.6,8.2,090,044,20.0,7.2,13.6,5.7,7.7,5.1,4.9,5.1,6.8,26.3,24.5,19.5,17.6,17.8,18.4,03 KRL,29,43
42134,2000,01,26,25.2,2.3,0.7,097,095,16.1,11.1,13.6,19.3,17.5,6.3,5.8,7.7,10.3,33.2,31.4,23.5,19.1,19.5,18.2,04 KRL,29,43
42134,2000,02,02,0.0,1.6,4.7,086,056,21.0,10.0,15.5,4.7,7.8,7.5,6.3,7.2,9.1,28.2,24.2,19.0,16.9,17.8,18.3,05 KRL,29,43
42134,2000,02,09,0.0,1.4,6.1,100,070,19.9,7.4,13.7,19.5,18.5,18.4,9.5,8.1,8.7,29.8,25.4,21.6,17.9,19.1,18.7,06 KRL,29,43
42134,2000,02,16,0.0,1.5,5.2,093,063,20.2,5.1,12.7,21.1,19.5,18.7,15.1,10.2,10.2,29.7,22.6,18.6,18.0,18.1,18.4,07 KRL,29,43
42134,2000,02,23,0.0,2.2,9.4,097,047,20.8,4.2,12.5,13.6,16.0,16.0,12.5,10.8,10.9,27.5,20.9,18.8,16.6,17.1,17.2,08 KRL,29,43
42134,2000,03,01,0.0,2.2,8.3,090,057,25.0,10.0,17.5,3.8,11.5,10.6,8.8,7.3,7.8,16.8,14.1,14.4,14.4,15.2,15.5,09 KRL,29,43
42134,2000,03,08,0.0,2.5,8.8,079,035,26.1,9.5,17.8,1.4,4.2,5.1,5.8,7.5,9.5,26.5,23.1,16.9,17.8,17.4,17.4,10 KRL,29,43
42134,2000,03,15,0.0,3.4,9.7,084,041,25.6,10.5,18.1,1.6,5.6,8.3,7.7,8.7,10.7,20.2,17.4,15.3,15.6,15.3,15.3,11 KRL,29,43
42134,2000,03,22,0.0,2.8,0.3,057,046,23.6,13.6,18.6,1.1,1.9,2.5,5.8,8.0,10.0,6.9,12.5,12.6,13.5,15.8,15.6,12 KRL,29,43
42134,2000,03,29,0.0,3.8,9.2,081,030,32.7,14.6,23.7,1.0,1.8,2.9,6.0,7.5,9.4,36.3,28.1,25.2,19.7,17.9,16.2,13 KRL,29,43
42134,2000,04,05,0.0,4.5,9.0,057,017,36.0,12.6,24.3,1.7,2.8,5.5,7.8,8.4,9.9,10.7,10.5,10.4,12.4,12.0,12.5,14 KRL,29,43
42134,2000,04,12,0.0,5.9,10.1,060,018,38.4,15.2,26.8,1.1,1.6,2.7,4.0,8.4,10.4,3.5,6.4,8.7,9.5,9.7,11.5,15 KRL,29,43
42134,2000,04,19,0.0,6.0,9.0,048,020,41.6,21.7,31.7,0.9,1.1,3.0,3.3,7.4,9.0,2.5,5.5,7.1,8.2,8.3,8.7,16 KRL,29,43
42134,2000,04,26,0.0,7.8,9.4,047,020,41.0,23.7,32.3,0.7,2.7,5.5,8.8,9.0,9.8,17,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,05,03,0.0,9.4,9.9,029,017,43.0,23.7,33.3,1.1,2.7,4.8,7.7,9.2,11.0,18,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,05,10,0.0,7.6,9.7,058,032,37.0,24.7,30.9,2.3,3.4,5.6,9.3,10.7,11.8,19,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,05,17,0.0,7.0,8.4,060,033,39.2,26.1,32.7,1.0,5.0,5.7,7.5,10.3,11.7,20,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,05,24,0.0,8.1,5.5,070,048,36.2,27.4,31.8,0.8,1.8,3.9,5.5,6.6,10.2,21,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,05,31,0.0,9.2,7.2,040,024,42.1,24.2,33.1,1.2,1.7,4.1,8.9,9.8,12.0,22,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,06,07,1.6,0.6,10.6,066,039,33.7,22.4,28.1,12.7,2.9,4.3,9.3,10.1,11.5,23,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,06,21,0.0,6.3,7.5,075,055,35.9,26.2,31.1,0.9,3.0,4.0,6.5,8.8,9.8,25,KRL,29,43,76,58,BARE PLOT,210400,161100
42134,2000,06,28,0.0,3.5,0.0,087,057,34.2,27.7,30.9,1.8,3.9,6.1,7.9,9.2,10.8,26,KRL,29,43,76,58,BARE PLOT,210400,161100
