Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43384,2000,01,02,0.0,4.9,3.6,8.7,083,046,32.8,18.5,25.7,19.5,21.1,23.2,26.5,23.5,25.5,01,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,01,16,0.0,2.8,1.9,0.4,098,069,28.5,18.7,23.6,27.7,23.9,27.1,28.8,26.1,26.1,03,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,01,25,0.0,4.9,3.1,10.0,090,043,33.6,17.7,25.7,27.9,28.8,26.1,26.9,26.9,25.1,04,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,02,01,0.0,6.2,2.6,10.3,094,037,33.2,17.3,25.3,18.8,19.2,18.8,24.2,20.5,23.4,05,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,02,14,0.0,6.9,3.1,9.7,090,048,34.8,17.0,25.9,12.9,14.9,22.9,23.5,23.1,18.1,07,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,02,28,0.0,5.2,3.5,9.4,088,046,34.3,22.0,28.1,27.9,31.2,30.0,30.5,28.5,28.5,09,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,03,05,0.0,5.6,4.8,9.5,090,041,35.3,16.8,26.1,27.8,26.8,26.6,25.2,24.9,22.5,10,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,03,12,0.0,7.2,4.0,9.8,093,049,37.0,20.3,28.7,19.5,19.8,23.5,21.5,21.9,23.3,11,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,03,19,0.0,8.0,3.5,10.7,082,038,36.6,19.2,27.9,8.9,8.7,22.3,21.1,19.8,23.5,12,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,03,26,0.0,5.2,3.9,9.8,095,044,34.9,20.4,27.7,29.7,29.5,28.1,27.1,29.7,28.5,13,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,04,02,1.8,5.8,2.5,2.4,072,043,36.1,22.2,29.1,20.5,20.0,19.5,20.3,21.0,21.2,14,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,04,09,0.0,5.6,1.7,10.8,095,047,35.5,21.3,28.4,16.5,14.2,12.7,14.7,13.3,14.9,15,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2000,04,16,0.0,8.2,1.7,9.9,065,046,40.4,23.3,31.9,6.7,6.8,12.7,17.5,12.9,11.8,16,KVL,09,12,77,53 COTTON,KC-2,071099
43384,2003,11,21,0.0,1.1,3.1,4.0,086,056,30.0,21.0,25.5,28.4,30.5,30.6,30.5,30.4,34.7,47,KVP,09,12,77,53 COTTON,KC,2
