Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42094,2003,04,09,0.0,6.2,0.8,11.2,084,023,34.8,16.6,25.7,0.0,2.8,3.7,5.8,6.3,9.6,0.0,4.4,5.8,6.5,8.2,10.7 15,LDH,30
42094,2003,04,16,0.0,8.0,0.7,6.8,060,022,37.6,22.0,29.8,0.4,0.9,1.5,1.9,2.2,2.9,0.3,3.3,4.6,6.6,7.7,10.6 16,LDH,30
42094,2003,05,07,0.0,8.0,0.0,11.0,041,008,36.4,16.4,26.4,0.0,0.0,0.0,0.7,1.2,1.5,19,07,LDH,30,56,75 52,BARE,SOIL
42094,2003,07,04,0.0,8.0,6.1,10.8,079,054,37.8,28.5,33.1,0.0,0.5,1.4,1.4,1.0,0.8,27,04,LDH,30,56,75 52,RICE-PR-118,010703
42094,2003,07,10,13.4,3.4,6.4,2.5,088,075,32.5,25.4,28.9,6.2,7.3,6.4,3.4,2.1,1.6,28,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,07,18,35.2,3.2,7.9,0.0,089,090,30.5,24.0,27.3,17.7,14.0,10.0,5.8,3.5,4.6,29,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,07,23,0.0,6.0,5.8,10.0,086,066,32.8,27.4,30.1,1.4,7.0,6.9,6.2,5.6,5.4,30,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,08,06,0.0,2.0,3.7,4.0,094,076,33.4,28.0,30.7,0.0,6.3,6.0,5.7,6.8,5.8,32,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,08,21,0.0,3.4,7.9,8.0,090,061,34.0,26.6,30.3,2.1,9.5,10.3,8.4,8.7,13.1,34,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,08,28,2.0,4.0,7.9,6.3,096,079,32.0,27.4,29.7,4.1,8.9,8.1,7.1,8.5,10.7,35,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,09,03,0.0,3.4,5.3,3.0,090,084,33.6,25.4,29.5,1.0,7.7,9.2,8.3,7.2,7.2,36,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,09,10,0.0,4.0,8.0,11.7,092,061,32.8,23.8,28.3,0.3,7.7,8.1,7.6,7.7,7.9,37,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,09,18,0.0,4.0,5.7,9.6,095,064,34.0,24.4,29.2,0.0,6.1,6.8,5.6,5.5,6.1,38,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,09,24,0.0,4.0,11.5,8.2,090,065,33.0,24.0,28.5,0.5,2.4,3.9,4.5,5.5,5.5,39,24,LDH,30,56,75 52,RICE-PR-118,010703
42094,2003,10,01,0.0,4.7,9.3,10.5,091,032,33.4,17.2,25.3,0.3,0.3,2.0,1.3,1.3,1.7,40,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,10,08,0.0,4.0,7.2,8.8,087,045,32.5,19.4,25.9,0.0,0.4,0.7,1.8,1.4,1.2,41,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,10,15,0.0,5.2,3.9,10.0,089,026,32.6,15.5,24.1,0.0,0.0,1.1,2.0,1.0,1.4,42,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,10,22,0.0,4.0,1.7,8.5,092,029,31.5,15.0,23.3,0.0,0.0,0.0,1.1,0.9,0.8,43,LDH,30,56,75,52 RICE-PR-118,010703,231003
42094,2003,11,19,0.0,2.0,0.6,6.0,095,053,23.0,10.8,16.9,1.5,2.6,2.1,1.4,1.9,2.0,47,LDH,30,56,75,52 WHEAT-PBW-343,191103,160404
42094,2003,11,26,0.0,2.0,0.5,9.5,094,025,24.0,5.5,14.8,0.9,1.4,1.8,1.8,2.0,2.3,48,LDH,30,56,75,52 WHEAT-PBW-343,191103,160404
42094,2003,12,04,0.0,1.6,0.1,2.5,094,044,21.6,7.8,14.7,1.1,0.9,1.7,2.5,2.2,2.7,1.6,9.7,9.7,9.5,10.0,10.6 49,LDH,30
