Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42868,2000,01,06,0.0,3.5,078,027,27.6,10.2,18.9,19.9,23.5,26.3,27.1,27.9,28.0,14.1,24.6,24.9,24.8,23.1,25.3,01,NGP 20,02,79
42868,2000,01,13,0.0,4.1,080,023,31.2,14.5,22.9,24.8,27.3,29.5,28.9,31.9,31.5,20.3,23.8,24.3,21.9,22.8,23.5,02,NGP 20,02,79
42868,2000,01,20,0.0,4.5,079,016,31.6,13.0,22.3,17.2,20.7,23.5,22.8,28.7,27.3,8.5,18.7,20.9,21.5,18.7,18.6,03,NGP 20,02,79
42868,2000,01,27,0.0,4.9,066,025,30.8,12.6,21.7,17.0,23.1,28.9,29.9,30.5,31.1,18.1,21.0,24.9,25.3,25.5,26.3,04,NGP 20,02,79
42868,2000,02,03,0.0,4.8,063,032,31.2,13.6,22.4,11.8,20.9,24.4,25.5,29.1,24.1,17.3,17.5,24.5,23.3,25.9,24.0,05,NGP 20,02,79
42868,2000,02,10,0.0,5.7,045,024,29.6,13.5,21.5,20.5,23.0,23.9,27.7,23.5,24.1,14.1,21.7,22.6,24.7,24.9,28.5,06,NGP 20,02,79
42868,2000,02,17,0.0,5.4,058,043,31.8,17.6,24.7,14.7,20.3,21.1,24.1,27.5,27.1,10.9,18.7,20.3,22.7,24.6,28.9,07,NGP 20,02,79
42868,2000,02,25,13.0,5.0,084,074,20.5,14.0,17.3,29.1,25.3,21.7,24.0,28.0,28.1,26.5,23.7,22.5,23.7,24.9,27.1,08,NGP 20,02,79
42868,2000,03,02,0.0,6.6,061,011,36.0,16.0,26.0,24.9,18.7,23.7,25.1,28.7,28.0,18.7,21.6,20.7,22.3,21.6,24.7,09,NGP 20,02,79
42868,2000,03,09,0.0,8.0,056,005,34.4,16.0,25.2,14.4,23.4,29.3,29.2,29.7,23.3,12.9,16.3,19.9,22.9,23.3,25.5,10,NGP 20,02,79
