Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43063,2000,02,01,0.0,4.0,9.6,087,024,33.4,10.9,22.2,1.1,1.2,7.7,14.9,1.7,17.8,18.9,19.3,19.1,20.9,05,PNE,18 32,73,51
43063,2000,02,08,0.0,4.5,8.6,095,027,29.3,10.7,20.0,1.1,2.7,2.7,9.1,18.2,31.2,28.1,28.5,27.9,29.5,06,PNE,18 32,73,51
43063,2000,02,15,0.0,4.7,9.4,074,033,29.5,15.6,22.6,2.1,12.6,11.8,10.9,10.0,29.9,37.3,36.8,37.0,38.4,37.4,07,PNE 18,32,73
43063,2000,02,22,0.0,4.8,10.1,096,025,29.4,12.7,21.1,8.7,12.6,19.4,20.7,19.3,9.8,35.7,31.2,29.8,35.4,34.2,08,PNE 18,32,73
43063,2000,03,01,0.0,7.1,10.2,067,016,32.7,10.8,21.8,5.7,6.2,14.2,16.5,14.5,17.1,20.9,34.1,31.7,32.8,34.2,09,PNE 18,32,73
43063,2000,03,08,0.0,6.1,10.4,091,018,30.2,13.2,21.7,7.8,9.4,23.9,14.6,12.0,11.0,34.0,36.3,34.9,30.8,30.5,10,PNE 18,32,73
43063,2000,03,22,0.0,6.7,9.8,065,015,36.7,12.1,24.4,1.0,3.6,11.5,6.6,33.8,27.5,29.6,30.2,27.0,32.1,12,PNE,18 32,73,51
43063,2000,04,04,0.0,6.8,9.6,079,024,39.0,24.1,31.6,2.1,3.3,4.4,11.1,35.0,35.9,32.7,31.2,32.1,14,PNE,18,32 73,51,SUGARCANE
43063,2000,04,11,0.0,8.7,9.7,043,017,39.3,15.6,27.5,2.2,2.7,4.8,5.3,10.9,31.7,32.5,33.7,31.5,32.7,15,PNE,18 32,73,51
43063,2000,04,18,0.0,6.7,10.3,069,024,38.5,22.0,30.3,2.7,3.6,5.1,8.0,5.2,30.9,33.1,29.8,24.7,25.5,16,PNE,18 32,73,51
