Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43072,2002,03,25,0.0,7.8,0.8,9.6,022,015,35.9,15.4,25.7,4.3,7.0,12.9,44.2,20.7,12.5,18.7,18.9,30.8,36.9,38.7,47.2 12,RHI,19
43072,2002,11,25,0.0,4.6,1.9,9.9,067,031,30.6,10.7,20.7,8.7,21.1,25.0,22.7,20.0,13.5,47,RHI,19,24,74,39 WHEAT,HIAW-30,221102
43072,2003,02,27,0.0,6.2,6.1,10.6,061,028,32.4,15.9,24.1,12.9,10.8,13.4,22.5,24.1,45.0,09,RHI,19,24,74,39 WHEAT,NIAW-30,221102
43072,2003,03,10,0.0,6.6,6.5,9.0,037,015,36.5,13.7,25.1,7.6,8.8,12.5,13.8,19.4,26.7,18.3,22.7,41.7,37.5,41.5,40.2 10,RHI,19
43072,2004,01,01,0.0,2.0,5.4,9.9,087,021,30.4,10.3,20.4,12.6,26.8,20.0,38.5,22.5,16.7,19.4,32.5,40.2,41.5,36.2,40.8 01,RHI,19
43072,2004,01,08,0.0,3.2,5.5,7.3,092,051,26.2,12.4,19.3,11.9,24.8,16.3,40.2,14.4,8.8,17.4,28.3,37.9,38.1,33.3,38.1 02,RHI,19
43072,2004,01,29,0.0,2.7,5.3,8.3,065,028,31.0,15.1,23.1,24.2,28.6,25.6,27.8,28.2,28.8,26.4,32.6,28.5,30.8,31.4,31.0 05,RHI,19
43072,2004,03,04,0.0,6.0,1.9,9.6,055,013,36.8,16.2,26.5,20.4,23.0,22.4,23.0,24.5,24.1,26.0,29.5,28.7,32.1,34.7,36.9 09,RHI,19
43072,2004,08,26,0.0,3.3,2.7,3.0,076,061,29.8,22.0,25.9,18.9,14.0,29.3,35.4,27.5,26.1,10.3,14.3,25.7,30.9,31.1,22.0 34,RHI,19
43072,2004,11,11,0.0,1.4,2.7,3.4,091,062,28.2,19.0,23.6,29.0,31.7,33.3,25.0,38.7,33.3,45,RHI,19,24,74,39 ONIONSEED,PRODUCTION,091104
43072,2005,01,20,0.0,3.5,4.1,9.4,081,024,23.7,5.7,14.7,8.3,8.6,20.0,17.5,22.7,14.8,03,RHI,19,24,74,39 ONION,N2-4-1,091104
43072,2005,02,03,0.0,3.5,3.6,10.5,087,034,26.8,9.2,18.0,10.3,10.1,26.1,25.0,12.2,16.9,27.5,26.1,35.4,29.7,31.7,45.3 05,RHI,19
43072,2005,02,10,0.0,4.9,4.5,10.9,050,016,34.2,12.7,23.5,4.5,7.0,2.9,26.8,19.1,9.5,5.7,22.2,40.1,39.4,38.1,31.5 06,RHI,19
43072,2005,02,17,0.0,6.0,5.7,10.5,063,029,34.0,13.4,23.7,11.3,21.1,33.3,17.7,17.7,8.3,07,RHI,19,24,74,39 ONION,N2-4-1,091104
43072,2005,03,24,0.0,7.5,4.3,10.3,047,017,33.2,13.7,23.5,13.7,7.5,25.0,25.4,35.0,29.3,22.3,22.7,24.4,41.7,35.4,30.7 12,RHI,19
43072,2005,03,31,0.0,8.2,4.6,10.0,051,026,35.0,17.2,26.1,9.5,15.4,25.0,27.9,33.3,21.5,26.1,28.8,28.7,10.1,14.5,22.5 13,RHI,19
43072,2005,07,14,0.0,6.5,2.3,5.3,081,044,33.1,22.3,27.7,13.3,23.4,21.1,18.3,25.0,22.2,28,RHI,19,24,74,39 SOYABEAN,JS-335,110705
43072,2005,08,11,0.0,5.1,4.9,4.8,082,059,29.6,23.1,26.4,11.5,30.9,32.3,38.0,44.4,31.7,11.0,37.3,41.7,38.1,30.9,41.7 32,RHI,19
43072,2005,10,06,0.0,4.1,4.3,8.2,082,039,33.2,19.4,26.3,5.0,13.4,13.4,31.7,26.8,21.1,3.8,12.1,16.7,16.7,13.6,13.8 40,RHI,19
43072,2005,10,13,0.0,5.3,1.3,8.5,083,035,32.7,17.4,25.1,9.9,12.3,15.9,21.1,17.9,15.4,14.3,9.1,17.1,12.7,12.1,18.7 41,RHI,19
43072,2005,12,01,0.0,4.1,3.5,7.6,065,028,30.5,14.2,22.4,11.5,12.5,10.4,13.9,16.1,20.0,48,RHI,19,24,74,39 ONIONSEED,PRODUCTION,221105
43072,2006,01,05,0.0,2.1,4.3,8.0,085,032,27.4,9.0,18.2,13.6,20.7,33.3,21.2,40.0,21.1,01,RHI,19,24,74,39 ONION,N2-4-1,221105
43072,2006,01,12,0.0,2.9,4.3,10.1,067,022,30.2,9.4,19.8,8.5,22.3,23.6,43.9,24.1,43.3,02,RHI,19,24,74,39 ONION,N2-4-1,221105
43072,2006,01,19,0.0,2.6,5.7,9.3,081,032,31.5,13.6,22.6,22.3,14.6,38.1,26.1,30.7,20.2,18.3,22.5,37.3,30.9,41.5,43.7 03,RHI,19
43072,2006,04,13,0.0,6.4,3.1,10.6,068,010,37.9,18.8,28.4,16.2,9.0,16.1,23.6,15.4,17.1,14.1,17.3,13.1,32.1,38.3,29.1 15,RHI,19
43072,2006,04,20,0.0,6.0,2.8,10.6,060,016,35.5,19.0,27.3,23.5,30.0,26.1,38.7,26.8,22.2,16,RHI,19,24,74,39 ONION,N2-4-1,221105
43072,2006,08,24,0.1,2.8,3.3,2.1,087,065,28.9,20.7,24.8,38.7,33.3,28.6,37.7,29.6,18.5,34.7,33.3,27.7,39.4,35.4,15.3 34,RHI,19
43072,2006,12,14,0.0,2.0,5.6,8.8,085,042,29.2,13.9,21.6,22.3,14.6,38.1,26.1,30.7,20.2,18.3,12.5,37.3,30.9,41.5,43.7 50,RHI,19
43072,2006,12,28,0.0,2.8,0.5,8.4,081,040,28.6,12.9,20.8,14.5,26.2,31.2,18.5,5.0,3.0,20.9,13.4,32.5,33.1,14.7,41.3 52,RHI,19
43072,2007,01,04,0.0,2.8,2.1,8.5,076,035,28.0,9.8,18.9,13.5,20.7,33.3,20.2,40.0,20.1,01,RHI,19,24,74,39 ONION,SEED,041106
43072,2007,01,18,0.0,3.2,8.9,9.7,083,031,26.8,9.1,18.0,8.5,22.3,23.6,43.9,24.1,44.3,03,RHI,19,24,74,39 ONION,SEED,041106
43072,2007,01,25,0.0,3.5,4.4,9.5,062,041,29.2,13.9,21.6,22.2,14.6,38.1,25.9,30.7,20.2,18.3,22.5,37.3,30.9,41.5,43.7 04,RHI,19
43072,2007,02,01,0.0,3.4,3.2,8.6,056,039,32.0,15.6,23.8,10.3,10.1,26.1,25.0,12.2,10.9,27.7,26.1,35.4,29.7,31.7,45.3 05,RHI,19
43072,2007,02,15,0.0,4.8,4.7,9.6,071,036,27.4,12.4,19.9,11.3,21.1,33.3,17.7,17.7,8.3,5.7,22.2,40.1,39.4,38.1,31.5 07,RHI,19
43072,2007,03,08,0.0,6.1,4.4,9.5,059,027,35.0,13.5,24.3,4.7,7.1,10.4,26.1,26.8,16.3,14.6,15.8,30.9,35.9,37.5,35.9 10,RHI,19
43072,2007,03,22,0.0,7.8,4.7,8.9,051,031,35.0,17.9,26.5,13.7,7.5,25.0,25.4,35.0,29.3,22.3,22.7,24.4,41.7,35.4,30.7 12,RHI,19
43072,2007,03,29,0.0,7.8,5.3,9.0,063,018,38.0,17.9,28.0,9.5,15.4,25.0,27.9,33.3,21.5,26.1,28.8,28.7,10.1,14.5,22.5 13,RHI,19
43072,2007,04,05,0.0,9.2,6.8,9.0,047,013,39.2,17.5,28.4,8.0,10.9,26.8,23.6,16.7,12.1,9.2,14.2,29.5,45.0,33.3,25.4 14,RHI,19
43072,2007,04,12,0.0,8.0,5.9,8.8,045,018,37.5,18.4,28.0,15.9,16.7,16.7,36.7,22.7,23.6,14.1,17.3,13.1,32.1,38.3,28.9 15,RHI,19
43072,2007,04,19,0.2,8.0,3.1,10.0,062,021,37.8,21.4,29.6,21.1,23.2,19.1,30.9,33.3,25.0,26.1,28.8,28.7,10.1,14.5,22.5 16,RHI,19
43072,2007,07,05,0.0,4.0,3.5,2.3,075,060,30.5,23.7,27.1,38.7,33.3,28.6,37.7,29.3,18.5,34.7,33.3,27.7,39.4,35.4,15.3 27,RHI,19
43072,2007,07,12,0.0,6.5,1.2,3.1,072,056,32.6,23.9,28.3,14.5,26.2,31.3,18.5,30.0,20.9,13.4,32.5,27.9,14.7,41.3,28 RHI,19,24
43072,2007,07,26,0.0,3.8,2.7,7.0,081,081,31.5,22.9,27.2,13.5,20.7,33.3,20.2,40.0,20.1,30,RHI,19,24,74,39 SOYABEAN,JS-335,290607
43072,2007,10,04,0.0,4.9,4.1,7.7,077,033,33.0,18.1,25.6,5.0,13.4,13.4,31.7,26.8,21.1,3.8,12.1,16.7,16.7,13.6,13.8 40,RHI,19
43072,2007,10,11,0.0,4.4,3.8,2.6,087,035,32.4,19.5,26.0,9.9,12.3,15.9,21.1,17.9,15.4,14.3,9.1,17.1,10.9,12.1,18.7 41,RHI,19
43072,2007,12,13,0.0,3.4,0.6,8.0,071,043,30.0,11.7,15.9,19.1,33.1,47.2,38.2,50,13,RHI,19,24,74,39,SUGARCANE KO-265,131207,121108
43072,2007,12,27,0.0,3.4,2.7,9.1,061,030,32.0,13.9,23.0,14.1,30.9,20.4,38.5,40.0,30.0,52,RHI,19,24,74,39 SUGARCANE,KO-265,131207
43072,2008,01,03,0.0,3.8,1.5,8.7,075,018,31.8,10.9,21.4,10.3,10.1,26.1,25.0,12.2,10.9,27.5,26.1,35.4,29.7,31.7,45.3 01,RHI,19
43072,2008,01,10,0.0,3.1,1.8,6.2,085,030,30.5,11.8,21.2,4.5,7.0,29.9,26.8,19.1,9.5,5.7,22.2,40.1,39.4,38.1,31.5 02,RHI,19
43072,2008,01,17,0.0,3.4,1.5,8.9,074,027,30.6,11.4,21.0,11.3,21.1,33.3,17.7,17.7,8.3,27.3,34.1,34.5,35.0,40.4,46.3 03,RHI,19
43072,2008,02,07,0.0,3.8,0.9,9.2,052,026,25.2,8.5,16.9,11.9,24.8,16.3,40.2,14.4,8.8,17.4,28.3,37.9,38.1,32.1,38.1 06,RHI,19
43072,2008,02,21,0.0,5.3,2.4,9.6,069,019,32.6,13.1,22.9,10.5,12.2,16.0,29.3,25.0,18.3,32.3,37.5,33.2,36.7,36.8,37.5 08,RHI,19
43072,2008,02,28,0.0,5.9,2.1,10.2,036,016,32.6,10.9,21.8,29.0,31.7,33.3,25.0,38.7,33.4,29.9,38.9,30.7,33.9,34.3,34.9 09,RHI,19
43072,2008,03,13,0.0,6.4,4.4,8.4,055,014,36.4,16.4,26.4,4.7,7.1,10.4,26.1,26.8,16.3,14.5,15.8,30.9,35.9,37.5,35.9 11,RHI,19
43072,2008,03,20,0.0,8.0,2.9,8.6,051,018,37.0,17.9,27.5,13.7,7.5,25.0,25.4,35.4,29.3,22.3,22.7,24.4,41.7,35.4,30.7 12,RHI,19
43072,2008,04,03,0.0,6.8,2.1,9.8,065,030,34.8,15.4,25.1,12.7,19.3,16.3,33.3,26.7,33.3,35.4,24.9,36.9,34.3,30.4,38.9 14,RHI,19
43072,2008,04,10,0.0,7.8,1.8,9.6,067,022,36.2,22.0,29.1,10.8,9.6,25.0,28.6,15.5,21.1,18.3,22.7,41.7,37.5,41.5,40.2 15,RHI,19
43072,2008,04,17,0.0,8.9,2.4,10.2,043,015,39.2,20.5,29.9,13.3,22.2,19.9,22.5,22.5,25.0,7.9,25.0,22.2,31.7,25.4,35.5 16,RHI,19
