Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42738,2000,07,27,0.0,10.0,0.9,2.0,084,043,34.4,24.5,29.5,12.6,38.0,30.6,32.7,33.6,9.1,21.4,28.8,24.9,16.1,30,RJK 22,17,70
42738,2000,08,09,0.0,9.0,6.2,8.9,065,044,34.5,25.4,29.9,6.3,20.3,24.7,21.6,7.6,16.7,20.3,21.7,32,RJK,22,17 70,48,MUNG
42738,2000,09,07,0.0,5.0,1.2,7.4,086,053,31.6,23.5,27.6,20.2,27.0,18.1,24.0,10.7,15.6,4.3,7.3,20.5,20.8,26.3,18.5 36,RJK,22
42738,2001,06,28,0.0,11.0,1.3,0.3,083,041,36.6,26.5,31.5,14.5,30.6,32.2,22.8,23.9,24.5,17.4,32.1,23.4,25.5,25.4,26 RJK,22,17
42738,2001,07,07,0.0,4.2,0.3,0.4,087,068,31.8,25.0,28.4,12.4,14.6,15.8,16.7,16.1,11.1,17.2,16.1,19.9,19.9,18.6,27 RJK,22,17
42738,2001,07,19,0.0,2.0,2.1,0.0,091,080,29.1,24.4,26.7,15.2,20.1,18.9,16.8,15.3,10.1,18.4,16.6,15.5,16.5,14.7,29 RJK,22,17
42738,2001,08,02,0.0,5.0,5.9,1.5,095,057,31.7,23.8,27.7,13.4,8.0,9.7,12.9,15.1,18.6,13.8,11.5,20.7,18.7,13.6,31 RJK,22,17
42738,2001,08,07,0.0,3.0,7.0,1.6,095,079,30.2,24.4,27.3,18.9,23.1,20.8,21.3,19.5,19.4,20.7,23.3,22.7,22.5,21.6,32 RJK,22,17
42738,2001,08,16,21.4,7.4,3.6,0.0,097,091,28.1,24.5,26.3,18.1,21.5,19.1,18.0,19.4,22.4,21.1,25.9,23.2,24.1,20.2,33 RJK,22,17
42738,2001,08,24,2.8,3.8,5.3,1.9,091,071,30.6,24.3,27.5,14.2,25.1,24.6,24.0,23.4,23.0,23.5,23.9,23.0,24.2,23.5,34 RJK,22,17
42738,2001,09,06,0.0,6.0,2.3,5.2,077,054,32.6,24.0,28.3,19.2,26.3,27.7,27.7,25.6,28.9,25.2,32.3,32.0,31.2,31.7,30.1 36,RJK,22
42738,2001,09,13,0.0,5.0,2.4,4.4,082,054,32.9,23.5,28.2,16.0,16.9,15.6,20.1,16.7,20.6,18.2,21.1,16.3,17.3,21.1,37 RJK,22,17
42738,2002,07,17,0.0,5.5,0.5,0.9,084,057,34.6,24.8,29.7,8.6,21.5,25.6,25.3,21.0,24.1,9.4,21.5,15.1,15.6,11.9,14.0 29,RJK,22
42738,2002,07,26,0.6,5.1,3.8,0.6,087,056,33.1,23.8,28.5,7.3,13.7,24.3,11.9,9.4,20.1,8.7,10.6,10.2,19.1,17.8,8.7 30,RJK,22
42738,2002,08,08,3.0,4.0,3.3,0.0,091,092,27.6,24.0,25.8,7.3,26.8,27.5,20.4,15.7,21.9,8.7,19.7,17.5,15.1,14.9,17.4 32,RJK,22
42738,2002,08,14,0.0,7.2,1.2,0.0,087,051,31.6,24.3,27.9,15.9,26.2,25.2,24.7,23.9,20.9,22.7,23.3,22.1,19.2,19.9,33 RJK,22,17
42738,2002,09,05,0.0,6.0,4.6,4.7,096,075,30.6,22.5,26.5,12.5,21.1,23.0,27.6,24.3,17.9,16.2,13.1,14.8,17.5,22.2,17.6 36,RJK,22
42738,2002,09,12,0.0,7.6,4.0,9.5,076,040,33.6,22.0,27.8,10.3,18.3,22.1,16.0,20.0,13.7,11.6,11.5,18.6,26.4,11.9,37 RJK,22,17
42738,2003,08,14,3.5,4.0,3.9,1.6,087,081,30.5,23.5,27.0,12.3,33.6,32.3,28.7,24.5,29.6,12.1,32.5,31.5,32.9,32.3,32.3 33,RJK,22
42738,2003,08,28,2.5,5.0,0.8,0.4,091,079,29.9,24.0,26.9,12.3,22.1,22.9,23.1,25.7,28.3,15.4,27.9,25.9,30.7,31.1,30.5 35,RJK,22
42738,2003,09,04,0.0,4.1,4.6,3.3,085,068,32.0,23.5,27.7,19.7,19.1,18.5,23.0,19.9,21.1,18.5,19.1,22.0,23.7,22.8,24.5 36,RJK,22
42738,2003,09,11,0.0,5.3,4.5,6.2,085,059,32.4,24.4,28.4,16.4,17.9,18.1,20.3,13.9,17.8,15.7,21.2,19.5,22.9,15.5,22.7 37,RJK,22
42738,2007,06,28,0.0,7.3,0.3,7.3,087,058,34.0,24.0,29.0,26.7,32.8,36.3,38.0,38.7,35.4,37.9,42.3,41.9,41.5,35.7,31.6 26,RJK,22
42738,2007,07,05,0.0,1.5,0.9,0.0,094,082,30.0,24.8,27.4,38.9,38.1,38.5,39.5,40.7,40.8,46.3,48.1,46.4,41.9,44.1,41.1 27,RJK,22
42738,2007,07,12,0.0,4.0,1.9,4.2,092,063,34.3,24.7,29.5,16.7,29.9,35.3,36.5,36.9,23.9,42.7,43.9,40.5,40.5,39.1,28 RJK,22,17
42738,2007,07,19,0.0,6.6,7.3,9.2,090,065,34.6,23.3,29.0,12.2,23.9,21.2,27.5,34.3,27.7,15.3,30.3,13.3,25.7,29.1,22.5 29,RJK,22
42738,2007,07,26,0.0,5.0,7.9,5.9,089,052,34.9,24.4,29.7,10.0,17.3,21.9,27.7,29.7,11.3,24.3,28.4,28.5,29.2,30,RJK 22,17,70
42738,2007,08,02,0.6,4.8,4.5,5.2,097,079,31.3,24.4,27.9,29.3,31.6,31.9,33.7,36.1,32.5,39.7,39.4,34.2,33.4,33.5,31 RJK,22,17
42738,2007,08,16,0.0,3.3,5.1,2.9,089,069,31.6,23.6,27.6,19.2,29.3,35.3,38.1,39.7,40.5,33.0,38.1,41.5,40.6,41.9,41.3 33,RJK,22
42738,2007,08,23,0.0,4.0,3.9,5.1,095,067,32.1,21.9,27.0,25.8,29.5,33.5,35.7,45.3,43.7,35.3,28.3,39.1,47.7,40.9,37.2 34,RJK,22
42738,2007,08,30,5.3,1.4,5.7,0.0,094,081,30.0,22.9,26.5,30.3,31.1,33.1,34.9,38.3,41.7,41.7,35.3,35.7,36.9,39.3,35 RJK,22,17
42738,2007,09,13,0.0,4.0,6.1,8.0,092,050,33.9,22.4,28.2,23.3,30.3,33.7,34.7,38.0,39.1,31.1,30.0,35.5,37.9,39.7,37 RJK,22,17
42738,2007,09,20,15.2,4.2,7.4,1.2,093,061,33.0,21.7,27.4,40.4,42.1,38.1,39.3,39.9,45.4,37.9,34.3,34.5,34.8,36.8,38 RJK,22,17
42738,2007,09,27,0.0,3.2,6.3,8.4,087,066,31.0,21.6,26.3,36.6,35.3,40.8,38.5,40.3,40.9,43.9,41.5,44.1,43.7,43.3,42.7 39,RJK,22
42738,2007,10,04,0.0,4.1,5.6,9.5,088,035,34.9,20.0,27.5,8.0,21.5,24.4,27.0,26.2,10.1,25.5,27.3,27.5,28.5,29.3,40 RJK,22,17
42738,2008,06,19,0.0,6.9,2.3,0.0,086,057,34.9,25.9,30.4,19.4,33.7,36.5,39.3,40.5,39.3,20.3,43.8,42.6,41.1,40.9,34.7 25,RJK,22
42738,2008,06,26,0.0,11.3,3.6,4.5,086,057,35.0,25.2,30.1,7.7,25.2,27.6,27.9,31.2,31.1,9.7,30.9,31.1,30.8,33.1,33.5 26,RJK,22
42738,2008,07,03,0.0,5.7,1.3,0.0,093,082,30.3,24.0,27.2,34.7,37.0,38.1,38.2,38.3,39.5,37.5,48.2,42.5,41.9,40.0,40.7 27,RJK,22
42738,2008,07,17,0.0,10.1,3.6,1.5,084,050,34.2,25.0,29.6,9.1,25.7,33.9,33.1,32.5,34.5,11.1,37.2,35.1,33.8,33.5,32.6 29,RJK,22
42738,2008,07,24,0.0,10.2,3.1,6.6,085,049,34.9,25.0,30.0,11.7,35.0,37.0,37.1,38.4,38.4,15.7,37.6,38.1,37.9,38.0,39.1 30,RJK,22
42738,2008,08,07,0.0,7.3,3.1,0.0,087,074,29.1,24.0,26.6,17.5,19.7,22.7,20.2,20.3,21.9,19.5,23.1,23.5,22.0,22.1,22.3 32,RJK,22
42738,2008,08,14,34.3,3.7,0.0,100,100,25.1,23.4,24.3,29.7,29.6,28.9,29.7,28.5,32.5,32.7,30.9,30.0,29.5,31.1,33,RJK 22,17,70
42738,2008,08,21,0.0,9.2,5.2,3.6,085,064,32.2,22.6,27.4,24.1,31.7,30.0,29.7,30.9,30.7,31.4,31.4,30.1,29.7,31.1,31.7 34,RJK,22
42738,2008,08,28,0.0,7.5,6.5,3.4,088,054,33.3,22.2,27.8,16.5,39.9,35.0,36.3,39.5,37.4,17.9,36.4,36.8,37.5,38.3,37.7 35,RJK,22
42738,2008,09,04,0.0,9.7,8.2,9.2,088,053,34.3,23.3,28.8,28.7,40.9,38.6,38.7,38.4,38.4,27.2,27.5,28.7,31.9,30.8,33.7 36,RJK,22
42738,2008,09,11,8.2,8.7,8.6,5.8,073,042,35.7,21.4,28.6,29.1,27.0,29.5,29.5,28.9,30.5,37.8,21.5,24.1,25.2,29.7,30.3 37,RJK,22
42738,2009,01,01,0.0,7.3,1.0,9.1,082,054,28.5,13.4,21.0,8.6,14.3,23.5,24.3,30.6,01,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,01,08,0.0,5.3,2.0,8.3,057,042,26.6,11.7,19.2,8.9,16.3,26.7,28.9,31.8,02,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,01,15,0.0,7.2,1.0,5.8,068,038,32.2,18.8,25.5,8.5,14.3,23.1,23.9,28.7,26.6,03,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,01,22,0.0,7.3,3.0,2.5,076,051,29.1,15.2,22.2,11.1,20.9,30.6,30.7,34.1,37.3,04,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,01,29,0.0,7.2,2.0,9.7,058,028,29.0,12.4,20.7,9.5,12.9,22.1,21.7,27.1,05,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,02,05,0.0,6.1,0.1,8.6,096,067,29.6,16.0,22.8,10.7,19.4,29.4,31.9,35.4,37.5,06,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,02,12,0.0,6.0,0.2,9.9,059,027,28.1,11.5,19.8,1.1,2.3,13.0,14.6,16.8,17.2,07,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,02,19,0.0,8.2,0.2,9.6,041,020,32.6,14.8,23.7,6.4,7.6,17.2,18.8,25.9,29.1,08,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,02,26,0.0,8.2,0.1,9.5,089,044,36.1,17.2,26.7,9.7,11.6,19.1,25.8,31.2,30.2,09,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,03,12,0.0,7.0,0.2,9.9,038,014,38.9,17.0,28.0,1.1,4.1,16.4,19.0,22.1,11,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,03,19,0.0,9.4,0.3,8.6,068,012,36.1,18.0,27.1,1.3,2.7,15.6,17.5,20.1,21.1,12,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,03,26,0.0,9.7,0.2,9.9,088,031,37.7,21.6,29.7,1.3,3.0,14.6,16.8,17.8,13,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,04,02,0.0,9.9,0.1,9.6,067,011,41.3,23.5,32.4,4.4,6.9,18.5,23.9,27.8,26.4,14,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,04,09,0.0,10.6,0.3,10.3,080,029,34.1,18.4,26.3,1.2,1.5,16.2,17.7,17.1,18.3,15,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,04,16,0.0,11.5,0.3,10.1,084,020,37.1,22.2,29.7,1.1,1.5,12.2,16.4,17.3,16,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,04,23,0.0,11.4,0.6,9.4,083,017,40.2,23.4,31.8,3.3,7.8,13.6,18.4,21.6,23.7,17,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,06,04,0.0,13.6,0.4,6.8,077,047,39.0,26.8,32.9,8.7,9.3,22.5,27.5,23,RJK,22,17,70,48,G,BARE SOIL,010109,090709
42738,2009,06,11,0.0,12.2,0.3,7.9,075,040,40.0,26.5,33.3,0.9,1.3,12.7,13.0,10.4,24,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,06,18,0.0,11.1,0.2,8.9,077,040,39.0,26.9,33.0,0.9,2.0,6.3,10.2,12.7,13.1,25,RJK,22,17,70,48 G,BARE,SOIL
42738,2009,06,25,2.0,4.7,0.5,0.0,084,092,29.1,25.2,27.2,27.6,28.1,18.3,28.8,29.1,26,RJK,22,17,70,48,G BARE,SOIL,010109
42738,2009,07,02,0.0,8.3,0.3,3.0,065,053,35.9,27.8,31.9,14.7,20.1,26.7,22.7,27,RJK,22,17,70,48,G,BARE SOIL,010109,090709
42738,2009,07,09,0.0,8.9,0.3,5.8,079,055,37.3,27.4,32.4,9.4,16.9,17.1,21.6,28,RJK,22,17,70,48,G,BARE SOIL,010109,090709
42738,2009,07,30,0.0,3.3,4.3,2.0,080,075,31.1,26.0,28.6,13.6,28.9,31.9,35.3,36.3,37.3,14.1,29.7,32.7,34.9,36.3,36.1 31,RJK,22
42738,2009,08,06,0.0,8.5,5.5,2.9,078,059,32.6,26.2,29.4,9.1,26.2,28.7,31.9,31.9,32.1,9.9,16.9,29.9,32.3,31.8,21.0 32,RJK,22
42738,2009,08,13,0.0,5.3,4.1,7.3,087,053,34.5,24.6,29.6,13.2,28.8,32.9,37.1,37.2,39.0,19.5,38.1,37.6,37.5,37.9,35.0 33,RJK,22
42738,2009,08,20,0.0,4.6,3.1,6.9,084,053,33.7,24.3,29.0,8.1,20.5,23.4,24.6,24.9,26.3,10.4,25.3,28.3,26.1,26.5,26.9 34,RJK,22
42738,2009,08,27,0.0,5.3,2.2,0.4,072,058,33.4,25.0,29.2,11.2,20.3,31.0,33.9,37.3,38.3,16.4,31.8,36.5,38.7,34.7,36.5 35,RJK,22
42738,2009,09,03,0.0,5.5,5.8,7.1,087,066,32.7,25.4,29.1,19.2,26.0,27.7,28.9,29.3,29.4,18.5,31.0,31.9,32.7,30.7,32.6 36,RJK,22
