Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42501,2000,01,04,0.0,0.7,1.0,094,075,16.5,9.9,13.2,15.7,16.9,19.9,21.1,19.1,19.4,01,SBR,25,14,87,04,BARE PLOT,010100,120600
42501,2000,01,11,0.0,0.9,5.6,100,059,21.7,8.0,14.8,14.2,18.0,22.7,20.1,20.2,19.3,02,SBR,25,14,87,04,BARE PLOT,010100,120600
42501,2000,01,18,0.0,2.4,9.4,075,046,20.3,5.5,12.9,12.1,16.7,19.1,20.0,19.7,21.1,03,SBR,25,14,87,04,BARE PLOT,010100,120600
42501,2000,01,25,0.0,1.6,5.9,100,062,23.4,10.0,16.7,12.1,14.7,19.3,20.2,18.6,19.5,04,SBR,25,14,87,04,BARE PLOT,010100,120600
42501,2000,06,06,8.2,5.0,5.3,079,060,35.4,24.9,30.1,3.6,9.5,12.2,14.3,14.9,15.5,23,SBR,25,14,87,04,BARE PLOT,010100,120600
42501,2000,11,07,0.0,2.8,9.0,089,054,30.9,16.0,23.4,16.1,19.8,19.2,22.6,20.4,20.9,22.8,20.4,19.7,20.2,20.3,20.3,45 SBR,25,14
42501,2000,11,14,0.0,2.2,8.0,100,053,29.0,16.0,22.5,12.9,16.6,18.9,19.9,19.9,21.2,24.7,26.0,25.1,22.0,22.7,19.2,46 SBR,25,14
42501,2000,11,21,0.0,1.6,8.5,094,054,29.4,18.1,23.7,14.0,17.0,19.1,20.1,22.0,20.1,47,SBR,25,14,87,04,BARE PLOT,181100,140601
42501,2000,11,29,0.0,2.3,7.4,091,046,27.9,11.8,19.8,15.3,16.6,21.6,20.7,20.3,19.5,48,SBR,25,14,87,04,BARE PLOT,181100,140601
42501,2001,02,13,0.0,2.7,9.2,067,046,27.4,7.6,17.5,8.3,13.5,16.9,17.7,19.0,19.9,07,SBR,25,14,87,04,BARE PLOT,181100,140601
42501,2001,02,20,0.0,3.8,9.0,068,057,27.5,10.5,19.0,5.9,13.3,17.2,18.5,18.1,19.6,08,SBR,25,14,87,04,BARE PLOT,181100,140601
42501,2001,02,27,0.0,3.1,9.8,059,047,28.6,13.7,21.1,4.7,12.8,17.5,18.4,18.5,18.9,09,SBR,25,14,87,04,BARE PLOT,181100,140601
