Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42545,2000,01,03,0.0,2.2,9.2,089,033,25.5,6.2,15.8,0.6,1.8,2.2,3.6,3.8,4.0,9.4,11.2,13.3,13.0,13.5,13.3,01 UDP,24,34
42545,2000,01,10,0.0,4.4,9.4,085,025,30.2,7.2,18.7,0.5,1.9,2.5,3.1,3.6,4.3,4.1,10.5,10.6,11.2,11.8,11.1,02 UDP,24,34
42545,2000,01,17,0.0,2.9,10.1,069,029,18.2,1.3,9.8,5.1,2.0,1.8,2.9,3.5,4.2,22.5,17.1,17.4,17.2,16.7,14.2,03 UDP,24,34
42545,2000,01,24,0.0,3.2,9.6,095,040,27.2,8.5,17.8,5.0,1.3,1.8,3.1,3.4,4.3,14.3,13.3,14.6,14.8,13.6,12.5,04 UDP,24,34
42545,2000,01,31,0.0,4.0,10.1,086,027,30.5,5.5,18.0,0.5,1.2,1.7,2.9,3.2,4.2,9.7,14.2,13.4,14.0,13.8,13.3,05 UDP,24,34
42545,2000,02,07,0.0,3.0,9.9,083,035,22.2,6.0,14.1,0.4,0.9,1.9,2.0,2.9,4.1,9.8,12.7,13.9,12.8,12.2,13.3,06 UDP,24,34
42545,2000,02,14,0.0,3.4,10.4,069,053,21.2,4.5,12.8,0.4,0.8,1.8,2.0,2.8,4.0,4.8,9.9,11.6,13.3,12.7,14.2,07 UDP,24,34
42545,2000,02,21,0.0,3.4,9.2,080,027,27.0,7.5,17.2,0.3,0.6,1.5,2.3,2.8,3.8,5.9,9.4,11.1,11.4,12.7,13.2,08 UDP,24,34
42545,2000,02,28,0.0,4.9,10.6,067,019,30.7,8.4,19.5,0.3,0.6,1.7,2.2,3.0,3.8,2.5,5.1,7.6,8.1,8.8,9.3,09 UDP,24,34
42545,2000,03,06,0.0,6.7,10.2,045,043,28.0,6.7,17.3,0.3,0.7,1.8,2.3,2.8,3.8,4.3,12.9,13.8,13.2,12.5,11.6,10 UDP,24,34
42545,2000,03,13,0.0,9.5,10.0,045,030,29.8,16.5,23.1,0.5,0.9,1.4,2.1,3.2,2.0,10.0,10.2,11.1,12.3,10.3,11,UDP 24,34,73
42545,2000,03,20,0.0,7.4,10.9,050,012,31.6,9.8,20.7,0.4,0.8,1.6,2.5,3.3,13.8,14.1,13.7,12.2,12.2,10.2,12,UDP 24,34,73
42545,2000,03,27,0.0,6.2,11.0,038,011,34.3,12.3,23.3,0.3,0.7,1.4,1.9,2.9,1.5,7.3,8.2,9.0,8.1,7.5,13,UDP 24,34,73
42545,2000,04,03,0.0,8.1,10.9,035,015,36.1,15.0,25.5,0.3,0.9,1.5,2.0,3.0,0.9,7.9,8.6,8.9,9.2,10.1,14,UDP 24,34,73
42545,2000,04,10,0.0,9.6,10.8,029,012,38.5,16.7,27.6,0.3,0.7,1.7,2.1,3.1,0.3,3.1,5.8,6.3,4.7,4.6,15,UDP 24,34,73
42545,2000,05,15,0.0,9.0,8.8,071,038,35.0,24.1,29.5,2.1,8.8,6.8,3.8,3.4,3.1,20,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,05,22,0.0,11.0,11.7,072,041,37.0,25.0,31.0,1.7,5.8,6.2,5.3,4.4,3.8,21,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,06,05,0.0,10.0,10.4,074,036,39.8,26.0,32.9,0.8,1.9,2.9,4.7,4.9,5.4,23,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,06,12,0.0,7.2,9.2,075,067,34.4,25.5,29.9,5.3,9.9,10.2,10.1,9.4,7.7,24,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,06,19,0.0,9.2,7.9,070,046,37.0,25.5,31.2,0.5,4.3,4.5,4.2,4.2,3.9,25,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,06,26,0.0,9.5,10.5,070,046,34.0,24.8,29.4,0.3,3.2,3.7,3.9,3.8,3.1,26,UDP,24,34,73,42,BARE PLOT,130400,040700
42545,2000,07,03,31.4,7.0,2.5,090,060,33.1,21.2,27.1,17.8,14.3,12.3,8.1,7.4,6.9,19.1,14.9,13.3,10.5,9.1,6.4,27 UDP,24,34
42545,2000,07,09,0.0,7.8,6.5,085,058,35.8,25.0,30.4,0.5,4.6,7.8,5.7,3.3,2.7,0.7,7.1,8.0,5.2,4.3,3.7,28 UDP,24,34
42545,2000,07,16,3.4,2.9,1.9,097,079,28.0,22.3,25.1,22.0,20.6,17.1,15.2,12.3,10.7,22.5,19.3,18.0,17.6,14.9,11.1,29 UDP,24,34
42545,2000,07,24,0.0,4.6,3.5,083,068,28.2,21.8,25.0,19.1,20.1,19.3,16.7,18.1,17.1,20.3,21.2,18.3,16.0,15.3,16.8,30 UDP,24,34
42545,2000,07,31,0.0,2.8,0.7,087,080,28.4,22.9,25.6,1.6,7.0,6.7,8.7,9.5,11.7,1.3,6.3,7.9,8.8,10.9,11.8,31 UDP,24,34
42545,2000,08,07,0.0,7.2,10.7,084,055,31.7,20.6,26.1,1.3,6.3,8.3,8.8,10.5,9.1,1.1,8.9,11.3,12.6,10.4,11.1,32 UDP,24,34
42545,2000,08,14,20.1,3.5,1.4,084,098,29.8,22.0,25.9,8.3,12.6,15.6,15.9,13.3,22.2,9.6,14.0,15.2,16.5,15.5,21.6,33 UDP,24,34
42545,2000,08,21,0.5,2.1,0.0,079,079,27.8,21.4,24.6,8.6,11.9,12.2,12.7,12.1,11.9,5.9,10.1,11.8,12.2,12.6,13.5,34 UDP,24,34
42545,2000,08,28,9.5,3.6,6.6,092,072,32.2,22.5,27.3,13.6,13.8,10.2,10.0,8.5,8.4,16.0,13.7,12.0,11.6,11.1,10.8,35 UDP,24,34
42545,2000,09,04,0.0,5.6,8.3,082,064,30.9,22.1,26.5,2.3,8.8,9.6,10.8,9.3,9.1,2.2,8.8,11.1,12.5,9.6,9.4,36 UDP,24,34
42545,2000,09,11,0.0,4.6,6.6,083,061,28.9,23.9,26.4,2.0,7.9,8.1,8.4,9.1,7.7,2.8,8.4,10.0,11.8,12.2,11.3,37 UDP,24,34
42545,2000,09,18,0.0,5.7,9.8,065,041,33.7,18.5,26.1,1.4,3.1,3.6,4.1,4.5,5.0,18.9,24.9,21.0,20.2,20.1,19.7,38 UDP,24,34
42545,2000,09,25,0.0,4.2,8.4,079,053,34.0,19.3,26.6,2.8,4.9,4.3,4.1,4.0,3.8,17.3,16.1,16.4,15.9,15.7,14.9,39 UDP,24,34
