Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
43397,2005,11,09,0.0,1.7,0.8,083,062,27.0,22.0,24.5,9.6,10.5,9.2,10.0,11.6,11.3,11.9,12.7,13.8,45,VDS,10,32 77,57,TOBACCO
43397,2005,11,17,0.0,1.8,5.8,096,047,29.5,19.0,24.3,6.3,7.3,7.4,9.2,11.4,12.8,14.9,14.1,11.9,46,VDS,10,32 77,57,TOBACCO
43397,2006,01,05,0.0,2.8,3.2,093,061,27.0,19.0,23.0,3.1,5.3,3.9,5.2,7.6,6.9,9.4,9.1,11.2,01,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,01,19,0.0,3.2,7.9,096,043,31.0,17.5,24.2,3.1,4.8,4.8,7.5,8.1,7.6,8.4,9.2,10.8,03,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,02,03,0.0,3.3,7.4,098,043,30.5,19.5,25.0,1.3,3.7,4.0,6.9,5.4,7.9,8.6,8.9,12.7,05,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,02,08,0.0,3.4,9.5,092,032,32.5,18.5,25.5,1.3,3.9,4.3,7.2,7.9,8.1,9.5,10.1,12.5,06,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,02,15,0.0,4.0,11.0,100,029,35.5,17.0,26.3,1.4,2.9,4.6,7.0,7.5,6.0,8.0,8.5,11.7,07,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,02,22,0.0,4.0,1.1,098,027,35.0,17.5,26.3,1.4,3.3,4.4,7.0,9.4,9.1,11.0,13.3,9.5,08,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,03,08,0.0,3.7,10.3,077,037,34.5,22.0,28.3,1.5,3.2,4.0,6.4,9.9,9.8,9.8,10.9,12.8,10,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,03,16,0.0,3.2,10.1,085,037,34.5,22.5,28.5,3.1,5.5,5.2,6.2,7.9,5.1,6.6,7.6,11.0,11,VDS,10,32 77,57,TOBACCO.ABIRANI
43397,2006,03,22,0.0,3.8,10.5,090,033,35.3,22.5,28.9,1.9,5.1,4.9,7.0,9.0,6.3,8.3,9.8,11.2,12,VDS,10,32 77,57,TOBACCO.ABIRANI
