Index,Year,Month,Date,RF,EVP,ET,SSH,RH1,RH2,MAX,MIN,MTMP,WSM1,WSM2,WSM3,WSM4,WSM5,WSM6,STN,DE Latitude,MI Latitude,DE Longitude,MI Longitude,Crop,Sowing Date,Harvest Date
42263,2000,01,03,0.0,0.3,2.6,099,085,15.7,4.6,10.2,1.9,4.2,5.6,6.5,6.3,5.2,9.4,10.5,9.7,8.1,7.7,7.7,01 AGR,27,10
42263,2000,01,10,0.0,2.3,6.7,094,054,23.1,9.2,16.1,1.8,4.0,5.5,6.5,6.1,5.1,6.3,8.3,9.7,8.5,7.9,7.1,02 AGR,27,10
42263,2000,01,17,0.0,2.2,9.2,096,049,16.4,3.6,10.0,4.6,7.3,6.7,6.7,6.2,5.3,7.4,9.3,9.5,7.7,7.7,7.1,03 AGR,27,10
42263,2000,01,24,0.0,2.2,8.1,094,043,24.1,7.0,15.6,2.0,5.9,5.9,6.4,6.2,5.3,16.3,17.7,14.6,11.6,11.7,10.9,04 AGR,27,10
42263,2000,01,31,0.0,2.5,9.3,094,030,24.6,7.5,16.1,1.7,4.6,5.7,6.1,6.3,5.1,10.4,11.5,11.5,10.7,10.3,9.5,05 AGR,27,10
42263,2000,02,07,0.0,2.3,6.2,093,061,18.9,7.1,13.0,2.2,4.7,5.5,6.1,6.2,5.2,8.3,9.7,10.1,9.4,9.7,9.4,06 AGR,27,10
42263,2000,02,14,0.0,2.3,9.4,096,039,18.6,4.5,11.5,2.2,4.4,5.5,6.1,6.2,5.2,14.8,16.5,15.0,12.3,11.4,11.1,07 AGR,27,10
42263,2000,02,21,0.0,3.7,9.2,095,025,24.6,8.9,16.7,1.8,4.1,5.3,5.6,6.0,5.3,10.8,11.5,12.3,10.4,10.2,9.5,08 AGR,27,10
42263,2000,02,28,0.0,4.2,9.6,096,026,26.7,8.0,17.3,1.4,4.0,5.1,5.5,5.9,5.2,16.3,17.3,14.5,12.4,12.1,11.3,09 AGR,27,10
42263,2000,03,06,0.0,5.0,8.2,081,032,27.4,12.1,19.7,1.6,3.8,4.9,5.7,6.1,5.1,10.3,11.8,12.1,10.4,10.3,9.8,10 AGR,27,10
42263,2000,03,13,0.0,4.1,4.3,082,035,31.1,17.6,24.3,1.4,3.7,4.8,5.6,5.8,5.7,13.5,15.3,14.6,12.6,11.9,10.8,11 AGR,27,10
42263,2000,03,20,0.0,7.3,10.0,090,019,29.1,9.8,19.5,1.7,3.7,4.6,5.4,5.7,5.3,10.4,11.8,11.9,10.7,11.0,10.3,12 AGR,27,10
42263,2000,03,27,0.0,6.0,10.1,070,034,30.6,12.3,21.5,1.4,3.6,4.4,5.4,5.5,5.3,8.4,9.6,10.7,9.0,9.1,9.6,13 AGR,27,10
42263,2000,04,03,0.0,9.5,10.3,058,015,34.5,14.7,24.6,1.3,3.3,4.2,5.3,5.7,5.7,5.6,8.5,9.4,9.1,8.8,9.6,14 AGR,27,10
42263,2000,04,10,0.0,9.0,10.1,040,012,37.4,17.1,27.3,1.2,3.5,4.4,5.2,5.3,5.7,15,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,04,17,0.0,11.2,9.5,063,018,39.4,22.1,30.7,1.2,3.2,4.1,4.8,5.3,5.7,16,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,04,24,0.0,7.6,5.5,061,029,36.5,23.6,30.1,1.3,3.1,4.1,4.5,5.3,5.8,17,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,05,01,0.0,11.8,7.6,048,014,41.4,20.7,31.1,1.3,3.1,3.9,4.5,5.5,5.8,18,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,05,08,0.0,11.2,4.4,061,034,34.3,23.6,28.9,1.2,2.7,3.7,4.4,5.4,6.0,19,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,05,15,0.0,10.8,7.5,068,034,36.8,27.3,32.1,1.1,2.6,3.5,4.4,5.5,6.1,20,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,05,22,0.0,11.3,7.2,075,032,41.4,27.6,34.5,1.5,3.7,3.4,4.2,5.4,6.1,21,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,05,29,0.0,11.1,10.7,039,013,44.9,30.1,37.5,1.2,3.2,3.3,4.2,5.5,6.2,22,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,06,05,49.8,11.0,6.1,063,038,40.1,20.7,30.4,10.4,9.3,6.7,6.7,6.3,6.1,23,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,06,12,0.0,8.0,8.9,079,042,37.1,26.1,31.6,7.7,8.5,7.6,6.4,6.3,6.1,24,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,06,19,0.0,7.3,2.6,088,048,39.7,28.1,33.9,5.0,7.6,7.3,6.7,6.3,6.1,25,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,06,26,0.0,6.8,0.8,072,051,38.8,28.6,33.7,6.7,8.3,7.0,6.4,6.3,6.1,26,AGR,27,10,78,02,BARE PLOT,050400,150700
42263,2000,07,03,0.0,5.3,3.3,088,091,36.1,25.1,30.6,3.5,6.3,6.4,6.3,6.0,5.9,27,AGR,27,10,78,02,BARE PLOT,050400,150700
